Swing Hum e Meio - Ao vivo by Mveis Coloniais de Acaju,5,0,0.403,0.791,0.621,141.38,0.879,0.658,0.542,0.835,0.595,0.645,0.663,1.0,0.721,0.482,0.757,0.797,0,0,0,0,0,0,0,happy
The Enemy Inside by Dream Theater,4,0,0.488,0.976,0.404,143.988,0.591,1.0,0.288,0.029,0.071,0.148,0.079,0.069,0.07,0.04,0.018,0.36,0,0,0,0.864031,0,0.693873,0,angry
Old Dirt Hill (Bring That Beat Back) by Dave Matthews Band,7,1,0.812,0.546,0.871,113.533,0.871,0.222,0.181,0.151,0.215,0.371,0.443,0.289,0.52,0.496,1.0,0.267,0,0,0,0,0,0.686032,0,relaxed
All My Heart Can Hold by Maggie Reilly,9,0,0.572,0.599,0.541,96.547,1.0,0.982,0.359,0.318,0.289,0.286,0.274,0.253,0.229,0.19,0.19,0.405,0,0,0,0.645687,0,0.7152,0,sad
Better People by Xavier Rudd,6,1,0.552,0.519,0.509,118.727,0.505,0.155,0.124,0.086,0.072,0.134,0.13,0.067,0.194,0.499,1.0,0.988,0,0,0.744781,0,0.753696,0,0.798695,relaxed
He Stopped Loving Her Today by George Jones,8,1,0.43,0.173,0.365,72.103,0.612,0.952,0.839,0.792,0.999,1.0,0.961,0.945,0.787,0.771,0.516,0.043,0,0,0,0.585315,0.579604,0,0.579049,sad
Las flores by Caf Tacvba,10,1,0.615,0.928,0.962,156.926,1.0,0.981,0.386,0.303,0.31,0.408,0.342,0.338,0.378,0.369,0.384,0.339,0,0,0,0,0,0,0,happy
"They Do, They Don't by Jack Johnson",10,0,0.726,0.449,0.357,125.956,0.794,1.0,0.564,0.422,0.469,0.509,0.434,0.456,0.497,0.621,0.935,0.804,0,0,0,0,0,0,0.765774,relaxed
Crazy Mary (Remastered) by Pearl Jam,11,0,0.385,0.465,0.104,139.109,0.502,0.599,0.666,0.643,0.852,0.797,1.0,0.798,0.877,0.961,0.93,0.985,0,0,0,0.536876,0,0,0,sad
Lady Sings The Blues by Billie Holiday,0,0,0.316,0.151,0.263,181.775,1.0,0.954,0.832,0.648,0.524,0.528,0.519,0.511,0.514,0.54,0.583,0.58,0,0,0,0.867772,0,0,0.706892,sad
Fall by The Saturdays,7,0,0.627,0.524,0.206,82.958,0.755,1.0,0.565,0.67,0.783,0.787,0.895,0.724,0.503,0.491,0.611,0.637,0,0,0,0,0.872181,0,0,sad
My Dearest Darling by Etta James,8,1,0.554,0.345,0.542,104.737,1.0,0.907,0.844,0.669,0.705,0.607,0.461,0.388,0.323,0.283,0.307,0.402,0,0,0.888502,0,0.734164,0,0.571918,happy
Dont Stop Now by Guided By Voices,11,1,0.268,0.719,0.375,107.265,1.0,0.287,0.252,0.274,0.18,0.188,0.503,0.504,0.491,0.499,0.582,0.493,0,0,0,0,0,0,0,sad
Chinese Takeaway by The Adicts,0,1,0.541,0.945,0.803,104.684,0.84,0.706,0.777,0.743,0.461,0.344,0.412,0.456,0.919,0.841,1.0,0.895,0,0,0,0,0,0,0,happy
Chega de Saudade by Joo Gilberto,7,1,0.512,0.0571,0.69,88.656,0.216,0.111,0.107,0.092,0.076,0.116,0.12,0.099,0.138,0.273,1.0,0.919,0,0,0,0,0,0,0,relaxed
The Boys Of Summer - Radio Version by DJ Sammy,6,1,0.622,0.88,0.58,144.985,1.0,0.902,0.176,0.178,0.146,0.126,0.123,0.108,0.094,0.076,0.074,0.214,0,0,0.578795,0,0,0,0,happy
For the Ladies by Stephen Lynch,0,1,0.507,0.522,0.485,123.465,0.578,0.543,0.626,0.386,0.39,0.407,0.767,0.814,1.0,0.984,0.548,0.429,0,0,0.948845,0,0.624611,0,0,happy
Things Can Only Get Better by Howard Jones,7,1,0.752,0.743,0.832,108.254,0.349,0.335,0.369,0.374,0.418,0.386,0.416,0.55,0.617,0.762,0.846,1.0,0,0.706899,0,0,0,0.821633,0,happy
Crystal by New Order,6,1,0.517,0.893,0.248,135.862,0.926,1.0,0.462,0.543,0.492,0.351,0.254,0.245,0.235,0.215,0.178,0.381,0.538302,0,0,0,0,0,0.742727,happy
We in Here (feat. Swizz Beatz) by DMX,11,0,0.516,0.85,0.517,179.305,0.79,0.822,0.854,0.964,0.808,0.662,0.651,0.713,1.0,0.865,0.756,0.654,0.558169,0,0.511031,0.538728,0,0,0,angry
