Song,Key,Mode,Danceability,Energy,Valence,Tempo,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,T-Anger,T-Fear,T-Joy,T-Sadness,T-Analytical,T-Confident,T-Tentative,Mood
Around The World by Aqua,6,1,0.698,0.969,0.964,129.953,0.978,1.0,0.31,0.289,0.224,0.303,0.232,0.26,0.265,0.297,0.274,0.314,0.0,0.0,0.7778930000000001,0.0,0.0,0.0,0.664175,happy
Evil Urges by My Morning Jacket,7,1,0.453,0.895,0.452,133.917,0.511,0.577,0.641,0.704,0.716,0.756,0.72,0.667,0.705,0.805,0.845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9479290000000001,happy
Nothing Much to Lose by My Bloody Valentine,2,1,0.282,0.95,0.0814,130.677,0.843,0.863,0.409,0.538,0.467,0.41,0.478,0.635,0.517,0.429,0.306,1.0,0.0,0.0,0.532833,0.0,0.0,0.0,0.0,sad
Chop Suey! by System of a Down,7,0,0.419,0.934,0.286,127.288,1.0,0.842,0.279,0.275,0.171,0.256,0.337,0.349,0.281,0.285,0.436,0.55,0.0,0.544894,0.0,0.698721,0.0,0.0,0.0,angry
The Freak Show by Antimatter,9,0,0.356,0.66,0.0742,107.791,1.0,0.989,0.625,0.599,0.576,0.575,0.563,0.55,0.54,0.518,0.512,0.284,0.0,0.0,0.671339,0.0,0.0,0.5597260000000001,0.0,sad
Omen Sore by ERA,9,1,0.376,0.638,0.234,80.028,0.3,0.412,0.542,0.607,0.849,0.659,0.437,0.255,0.332,1.0,0.385,0.17,0.0,0.571288,0.0,0.0,0.0,0.0,0.0,relaxed
When I Get Where I'm Going by Brad Paisley,0,1,0.52,0.379,0.208,85.934,0.58,0.743,0.634,0.524,0.799,0.952,1.0,0.975,0.672,0.686,0.414,0.129,0.0,0.0,0.671823,0.662054,0.0,0.0,0.51835,sad
Victory by Megadeth,10,0,0.422,0.973,0.297,168.051,0.988,1.0,0.413,0.369,0.336,0.365,0.368,0.35,0.319,0.265,0.233,0.51,0.0,0.0,0.0,0.535245,0.0,0.0,0.850625,angry
My Baby Does Me by Queen,1,1,0.786,0.415,0.712,90.954,0.669,1.0,0.769,0.741,0.386,0.401,0.44,0.407,0.178,0.169,0.44,0.139,0.0,0.0,0.8325940000000001,0.0,0.6815060000000001,0.0,0.0,happy
Morning Glory by Tim Buckley,8,1,0.358,0.285,0.38,83.858,1.0,0.896,0.724,0.567,0.546,0.496,0.412,0.351,0.362,0.42,0.487,0.568,0.0,0.8352,0.0,0.0,0.0,0.0,0.917243,sad
Black Light District by The Gathering,10,1,0.217,0.788,0.113,113.622,0.609,0.585,0.714,0.618,0.766,0.517,0.619,1.0,0.748,0.459,0.331,0.31,0.0,0.0,0.0,0.84885,0.0,0.0,0.0,sad
Can You Hear The Music by The Rolling Stones,5,1,0.322,0.69,0.492,73.279,0.605,0.779,0.765,0.751,0.717,0.703,0.995,1.0,0.947,0.962,0.52,0.528,0.0,0.0,0.754262,0.0,0.0,0.0,0.931982,sad
Reminiscing by Little River Band,7,1,0.54,0.465,0.341,94.731,0.404,0.347,0.339,1.0,0.523,0.575,0.303,0.252,0.199,0.264,0.595,0.386,0.0,0.0,0.5327529999999999,0.0,0.0,0.0,0.0,relaxed
Dead and Buried by Alien Sex Fiend,8,0,0.272,0.893,0.511,169.292,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.557401,0.0,0.0,0.0,angry
Sway by Voxtrot,4,0,0.456,0.277,0.165,137.128,0.493,0.391,0.665,0.522,0.477,0.633,0.602,0.468,0.434,0.553,1.0,0.528,0.0,0.0,0.0,0.81482,0.0,0.0,0.50589,sad
Homebird by Foy Vance,0,1,0.695,0.278,0.501,81.992,0.843,0.936,0.827,0.726,0.721,0.742,0.967,0.877,0.781,0.892,0.835,1.0,0.0,0.0,0.5347609999999999,0.0,0.0,0.0,0.658666,relaxed
Rain Song by COLD,7,0,0.518,0.858,0.301,101.987,0.803,0.986,0.824,0.718,0.88,1.0,0.941,0.786,0.771,0.786,0.775,0.746,0.0,0.0,0.0,0.624501,0.0,0.939867,0.0,sad
Cruel Summer by Bananarama,1,0,0.666,0.871,0.936,108.501,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.578234,0.0,0.0,0.658666,happy
Still in Love by Nick Cave and the Bad Seeds,0,1,0.408,0.305,0.0566,116.804,1.0,0.853,0.52,0.438,0.377,0.394,0.439,0.458,0.511,0.519,0.638,0.889,0.0,0.0,0.0,0.0,0.0,0.0,0.953578,sad
Papi by Jennifer Lopez,4,0,0.705,0.805,0.886,120.021,0.133,0.128,0.053,0.047,0.118,0.142,0.119,0.127,0.115,1.0,0.471,0.12,0.0,0.0,0.8556299999999999,0.0,0.701671,0.820205,0.0,happy
Anorak Christmas by Sally Shapiro,0,1,0.609,0.639,0.524,129.939,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.56543,0.0,relaxed
Fun Fun Fun by Busted,9,1,0.262,0.524,0.465,163.979,0.166,0.16,0.181,0.195,0.339,0.737,1.0,0.991,0.651,0.179,0.222,0.193,0.0,0.0,0.695394,0.0,0.0,0.0,0.761129,happy
Sex. Murder. Art. by Slayer,7,1,0.35,0.986,0.151,107.749,1.0,0.771,0.564,0.29,0.246,0.51,0.522,0.332,0.283,0.281,0.253,0.947,0.0,0.0,0.539229,0.0,0.0,0.0,0.0,angry
4 Words (To Choke Upon) by Bullet For My Valentine,8,1,0.369,0.95,0.33,92.555,0.472,0.374,0.254,0.229,0.515,0.607,0.934,0.848,1.0,0.991,0.77,0.131,0.0,0.0,0.0,0.5322939999999999,0.964507,0.502153,0.0,angry
Lovestain by José González,8,1,0.594,0.186,0.393,146.413,0.244,0.981,0.218,1.0,0.447,0.115,0.076,0.079,0.089,0.098,0.295,0.069,0.0,0.0,0.0,0.672659,0.0,0.0,0.0,relaxed
I Would Like To Call It Beauty by Corinne Bailey Rae,10,1,0.292,0.156,0.133,79.224,1.0,0.622,0.254,0.253,0.252,0.369,0.288,0.815,0.554,0.165,0.166,0.363,0.0,0.0,0.708109,0.0,0.0,0.0,0.0,relaxed
Meadow by Espers,11,0,0.403,0.358,0.156,117.045,0.859,0.894,0.973,0.463,0.599,1.0,0.39,0.564,0.472,0.635,0.484,0.32,0.0,0.0,0.0,0.0,0.53889,0.0,0.616216,relaxed
London Calling by The Clash,0,1,0.651,0.801,0.776,133.763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.620534,0.0,0.0,angry
Orgasmatron by Motörhead,3,1,0.415,0.985,0.135,127.835,0.325,0.273,0.268,0.404,0.384,0.388,1.0,0.523,0.402,0.541,0.715,0.502,0.0,0.0,0.0,0.0,0.0,0.59538,0.0,angry
Back To Manhattan by Norah Jones,10,1,0.527,0.224,0.178,91.908,1.0,0.716,0.562,0.519,0.282,0.284,0.902,0.933,0.851,0.886,0.739,0.766,0.0,0.0,0.0,0.0,0.747663,0.0,0.539798,sad
If You Know Love by Molly Johnson,10,1,0.872,0.28,0.436,104.526,0.979,1.0,0.794,0.581,0.453,0.285,0.225,0.408,0.611,0.742,0.765,0.821,0.0,0.0,0.853508,0.0,0.7932560000000001,0.0,0.0,relaxed
Ophelia by The Tear Garden,1,1,0.569,0.81,0.254,109.235,0.306,0.274,0.332,0.221,0.338,0.388,0.316,0.296,0.236,0.277,1.0,0.906,0.0,0.0,0.709503,0.0,0.0,0.0,0.8988389999999999,sad
Letter To God by Hole,4,1,0.404,0.523,0.118,73.551,1.0,0.663,0.281,0.358,0.291,0.285,0.355,0.334,0.469,0.455,0.581,0.21,0.0,0.0,0.0,0.702786,0.0,0.0,0.0,sad
Washington Is Next! by Megadeth,4,0,0.299,0.982,0.43,198.017,0.181,0.241,0.281,0.294,1.0,0.204,0.118,0.146,0.111,0.203,0.2,0.245,0.586186,0.0,0.0,0.0,0.0,0.0,0.6192989999999999,angry
Flora's Secret by Enya,11,1,0.568,0.253,0.597,142.093,1.0,0.983,0.292,0.211,0.235,0.307,0.278,0.197,0.169,0.144,0.082,0.336,0.0,0.0,0.704321,0.0,0.0,0.0,0.0,relaxed
Sex Dwarf by Soft Cell,5,1,0.511,0.607,0.648,148.046,0.237,0.624,1.0,0.347,0.149,0.123,0.157,0.022,0.048,0.292,0.037,0.021,0.0,0.0,0.561492,0.0,0.0,0.0,0.0,happy
I Only Want To Be With You by Dusty Springfield,7,1,0.602,0.684,0.961,133.0,0.967,0.904,0.854,0.854,0.83,0.913,0.942,0.998,1.0,0.934,0.85,0.741,0.0,0.0,0.550773,0.0,0.0,0.0,0.60858,happy
Mea Culpa by Enigma,11,0,0.556,0.762,0.332,109.995,0.239,0.278,0.425,0.274,0.515,0.354,0.64,0.392,1.0,0.412,0.722,0.31,0.0,0.0,0.5665939999999999,0.0,0.0,0.0,0.0,relaxed
Sun (acoustic) by Mae,9,1,0.712,0.431,0.37,96.01,0.493,0.094,0.032,0.021,0.014,0.303,0.292,0.022,0.054,0.015,0.062,1.0,0.0,0.0,0.576126,0.554794,0.526692,0.0,0.921459,relaxed
Highway to Hell by AC/DC,6,0,0.574,0.913,0.423,115.728,0.924,0.69,0.477,0.459,0.683,1.0,0.906,0.701,0.589,0.457,0.39,0.328,0.587346,0.0,0.0,0.0,0.0,0.0,0.0,angry
I Still Get Jealous by Louis Armstrong,7,0,0.583,0.486,0.812,73.354,0.931,0.781,0.649,0.55,0.507,0.601,0.75,0.876,0.97,0.935,1.0,0.973,0.0,0.0,0.0,0.542437,0.61788,0.0,0.0,relaxed
Beauty And The Beast by Jump5,0,1,0.685,0.939,0.621,117.978,0.345,0.252,0.151,0.206,0.191,0.36,0.239,0.315,0.197,0.556,1.0,0.804,0.0,0.0,0.774696,0.0,0.0,0.0,0.50589,happy
Flowery Noontide by Espers,7,1,0.402,0.314,0.0384,115.32,0.4,0.715,0.907,0.697,0.551,1.0,0.648,0.352,0.394,0.284,0.385,0.335,0.6608729999999999,0.0,0.0,0.0,0.0,0.0,0.9783709999999999,relaxed
Elvis Presley and America by U2,8,1,0.472,0.79,0.531,91.435,0.527,0.313,0.474,0.183,0.162,0.295,0.297,0.12,0.25,0.281,0.93,1.0,0.0,0.0,0.630648,0.0,0.567613,0.0,0.555203,sad
Without You by Dixie Chicks,2,1,0.626,0.424,0.173,91.812,0.594,0.565,0.757,0.484,0.252,0.341,0.669,0.931,1.0,0.723,0.661,0.532,0.0,0.0,0.0,0.877994,0.0,0.0,0.0,sad
Take Your Mama by Scissor Sisters,8,1,0.757,0.957,0.933,153.944,0.029,0.022,0.037,0.027,0.074,0.67,0.12,0.058,0.224,0.571,1.0,0.108,0.0,0.0,0.669347,0.0,0.0,0.0,0.718259,happy
7 Minutes by Noir Désir,9,1,0.222,0.931,0.0696,141.19,1.0,0.889,0.24,0.282,0.185,0.139,0.12,0.186,0.104,0.088,0.09,0.239,0.0,0.0,0.56582,0.0,0.0,0.0,0.601046,angry
Fitter Happier by Radiohead,9,1,0.432,0.391,0.744,123.538,1.0,0.674,0.478,0.474,0.481,0.478,0.412,0.365,0.518,0.507,0.762,0.188,0.0,0.0,0.654734,0.0,0.7162,0.740925,0.0,sad
Fields Of Gray by Bruce Hornsby,7,1,0.662,0.61,0.587,108.008,0.119,0.094,0.056,0.088,0.181,0.083,0.134,0.155,0.493,1.0,0.493,0.634,0.0,0.0,0.0,0.7907569999999999,0.0,0.0,0.774175,relaxed
St. Robinson In His Cadillac Dream by Counting Crows,8,1,0.483,0.725,0.551,157.929,0.987,1.0,0.222,0.289,0.256,0.242,0.26,0.2,0.292,0.207,0.189,0.288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,relaxed
Verne by Novembre,4,0,0.199,0.735,0.143,105.045,0.496,0.679,0.688,0.641,0.746,0.598,0.882,0.848,0.835,0.869,0.821,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Love and Destroy by Franz Ferdinand,9,0,0.505,0.903,0.792,146.086,0.07,0.051,0.074,0.063,0.045,0.435,0.184,0.159,0.15,0.181,1.0,0.158,0.0,0.0,0.0,0.7421840000000001,0.0,0.0,0.0,happy
Rinse by Vanessa Carlton,8,0,0.469,0.718,0.141,79.619,0.791,0.151,0.065,0.088,0.097,0.165,0.315,0.197,0.536,0.51,1.0,0.716,0.0,0.0,0.0,0.533144,0.759706,0.704539,0.0,sad
I Don't Wanna Die Anymore by New Radicals,10,1,0.419,0.507,0.237,142.582,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.778849,0.0,0.0,0.0,sad
Back Into Your System by Saliva,1,1,0.418,0.85,0.524,157.992,1.0,0.717,0.232,0.187,0.169,0.124,0.132,0.124,0.155,0.146,0.153,0.29,0.0,0.0,0.547669,0.0,0.0,0.8713209999999999,0.0,relaxed
End by Secondhand Serenade,9,1,0.31,0.325,0.042,167.843,0.29,0.489,0.584,0.428,1.0,0.288,0.226,0.393,0.143,0.138,0.289,0.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
In The Mood by Robert Plant,7,1,0.613,0.712,0.258,101.636,0.396,0.598,0.865,0.911,0.938,0.894,0.856,1.0,0.677,0.544,0.555,0.494,0.0,0.0,0.7357600000000001,0.0,0.0,0.0,0.0,relaxed
Man Must Dance by Johnossi,11,0,0.67,0.449,0.581,87.493,0.97,1.0,0.988,0.916,0.886,0.906,0.88,0.832,0.807,0.718,0.699,0.674,0.0,0.0,0.6409590000000001,0.0,0.0,0.0,0.839232,happy
Cish Cash  by Basement Jaxx,1,1,0.526,0.964,0.236,153.924,1.0,0.979,0.706,0.693,0.675,0.669,0.655,0.648,0.634,0.627,0.613,0.409,0.0,0.0,0.0,0.0,0.0,0.8571989999999999,0.0,happy
Don't Turn Around by Ace of Base,4,0,0.745,0.771,0.752,95.623,0.931,1.0,0.531,0.441,0.438,0.427,0.347,0.435,0.481,0.435,0.432,0.54,0.0,0.0,0.0,0.710897,0.0,0.0,0.9121950000000001,happy
High School by Nerf Herder,7,1,0.542,0.935,0.232,135.005,0.967,1.0,0.141,0.127,0.204,0.25,0.391,0.348,0.535,0.531,0.693,0.106,0.5999760000000001,0.0,0.0,0.0,0.693298,0.0,0.642407,happy
Steamy Windows by Tina Turner,9,1,0.745,0.755,0.847,133.771,0.659,0.761,0.888,0.9,0.836,1.0,0.91,0.813,0.753,0.829,0.757,0.644,0.0,0.0,0.6151840000000001,0.0,0.6073069999999999,0.0,0.0,happy
Slowboat by Sparks,2,1,0.361,0.444,0.6,156.174,0.636,0.204,0.045,0.036,0.046,0.124,0.097,0.039,0.041,0.033,0.174,1.0,0.0,0.0,0.0,0.604781,0.0,0.0,0.8225110000000001,sad
A Modern Way Of Letting Go by Idlewild,8,1,0.282,0.987,0.377,189.859,0.96,1.0,0.953,0.86,0.874,0.873,0.789,0.721,0.737,0.705,0.621,0.559,0.0,0.0,0.0,0.0,0.935542,0.0,0.0,angry
My Funny Valentine by Anita Baker,10,0,0.342,0.215,0.19,138.087,0.968,0.659,0.53,0.54,0.51,0.986,1.0,0.379,0.329,0.51,0.621,0.707,0.0,0.0,0.94063,0.0,0.0,0.0,0.0,relaxed
Des Illusions by Dark Sanctuary,9,0,0.636,0.309,0.117,110.005,0.705,0.677,0.513,0.588,0.737,1.0,0.963,0.797,0.782,0.883,0.821,0.953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Lightning by Eric Church,10,1,0.517,0.522,0.422,92.095,0.081,0.044,0.151,0.024,0.027,0.108,0.021,0.029,0.026,0.069,1.0,0.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Less Than a Pearl by Enya,6,0,0.255,0.346,0.0633,117.081,0.72,0.701,0.577,0.576,0.513,0.606,0.683,0.962,1.0,0.966,0.959,0.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,relaxed
Dolphins by Tim Buckley,10,1,0.409,0.487,0.612,116.89,0.031,0.025,0.082,0.018,0.032,0.191,0.036,0.016,0.025,0.023,1.0,0.139,0.0,0.0,0.0,0.0,0.919926,0.0,0.9244209999999999,sad
Paranoiattack by The Faint,4,1,0.795,0.733,0.737,132.038,1.0,0.973,0.702,0.36,0.201,0.119,0.096,0.08,0.083,0.087,0.065,0.774,0.0,0.557348,0.0,0.0,0.0,0.78945,0.0,happy
Countdown to Extinction by Megadeth,9,0,0.48,0.859,0.311,128.964,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.556063,0.0,0.0,0.0,0.568833,0.693873,0.0,angry
Keeping You by Tanya Donelly,7,1,0.61,0.545,0.369,144.443,1.0,0.978,0.589,0.556,0.531,0.533,0.53,0.533,0.533,0.512,0.5,0.243,0.0,0.0,0.0,0.648511,0.8821700000000001,0.0,0.0,relaxed
The Figurehead by The Cure,10,0,0.655,0.842,0.727,110.37,0.985,1.0,0.957,0.856,0.787,0.795,0.785,0.745,0.705,0.633,0.635,0.62,0.0,0.559874,0.0,0.0,0.0,0.0,0.0,sad
Mickey by Toni Basil,4,1,0.595,0.928,0.982,149.975,0.973,0.95,0.586,0.279,0.263,0.333,0.255,0.256,0.348,0.42,0.781,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy
"Cheer Up, Boys (Your Make Up Is Running) by Foo Fighters",9,1,0.466,0.965,0.574,141.59,0.816,1.0,0.604,0.517,0.399,0.399,0.19,0.279,0.408,0.276,0.192,0.384,0.0,0.0,0.0,0.5878680000000001,0.0,0.0,0.0,happy
Ghetto Vet by Ice Cube,2,1,0.627,0.781,0.51,178.65,0.093,0.144,0.085,0.033,0.009,0.012,0.237,1.0,0.385,0.013,0.01,0.028,0.6095550000000001,0.0,0.0,0.0,0.0,0.0,0.0,angry
Necrophiliac by Slayer,10,1,0.331,0.936,0.247,106.147,1.0,0.919,0.749,0.457,0.389,0.484,0.745,0.481,0.484,0.505,0.729,0.558,0.0,0.0,0.0,0.0,0.0,0.0,0.71572,angry
Sleepsong by Secret Garden,2,0,0.215,0.22,0.0394,86.438,0.912,1.0,0.769,0.675,0.662,0.573,0.725,0.646,0.678,0.696,0.928,0.656,0.0,0.0,0.826998,0.0,0.0,0.0,0.631794,relaxed
Prisoners of Today by Billy Talent,7,0,0.476,0.987,0.621,163.944,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.740879,0.0,0.0,0.677579,angry
Brand New Day by Sting,4,1,0.501,0.803,0.39,157.488,1.0,0.626,0.3,0.118,0.124,0.035,0.149,0.045,0.042,0.139,0.084,0.462,0.0,0.0,0.0,0.691096,0.0,0.0,0.0,happy
Psychopathy Red by Slayer,1,1,0.41,0.999,0.146,103.924,0.327,1.0,0.431,0.576,0.482,0.578,0.556,0.539,0.595,0.532,0.499,0.425,0.0,0.668358,0.0,0.0,0.0,0.794212,0.0,angry
You Belong To Me by Anita Baker,6,0,0.589,0.596,0.457,92.068,0.998,1.0,0.087,0.122,0.239,0.243,0.148,0.082,0.051,0.047,0.053,0.103,0.0,0.0,0.5294949999999999,0.0,0.0,0.9147139999999999,0.0,relaxed
Pocket by Sam Sparro,9,0,0.663,0.898,0.688,119.998,1.0,0.839,0.384,0.264,0.147,0.133,0.317,0.394,0.302,0.121,0.104,0.531,0.0,0.0,0.0,0.0,0.0,0.0,0.925484,happy
Le Ciel Dans Une Chambre by Carla Bruni,10,1,0.561,0.264,0.218,130.587,0.891,1.0,0.273,0.209,0.195,0.193,0.193,0.175,0.149,0.111,0.103,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,relaxed
Tone Poem by Fischerspooner,0,1,0.62,0.163,0.124,128.061,0.001,0.008,0.001,0.001,0.045,0.001,0.001,0.003,0.005,1.0,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,relaxed
Foxtrot Uniform Charlie Kilo by Bloodhound Gang,10,0,0.767,0.599,0.788,137.035,0.964,0.877,0.662,0.752,0.687,0.684,0.838,0.874,0.685,0.782,0.82,1.0,0.0,0.0,0.0,0.530165,0.0,0.0,0.0,happy
One Hundred Years by The Cure,7,1,0.436,0.881,0.262,132.59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.655507,0.0,0.0,0.0,0.0,0.635753,sad
Gone With The Day by Faunts,9,1,0.153,0.115,0.0472,78.8,0.358,0.453,0.36,0.318,0.738,0.339,0.265,0.204,0.404,1.0,0.34,0.346,0.0,0.5971890000000001,0.0,0.525098,0.0,0.0,0.0,relaxed
Celebration by Kool & The Gang,1,1,0.885,0.664,0.906,121.632,1.0,1.0,0.926,0.803,0.746,0.774,0.754,0.717,0.689,0.585,0.538,0.528,0.0,0.0,0.6426109999999999,0.0,0.0,0.0,0.0,happy
Super-Charger Heaven by White Zombie,1,1,0.411,0.954,0.54,183.958,0.095,0.167,0.136,0.123,0.275,0.405,0.791,0.834,0.388,0.124,1.0,0.536,0.0,0.0,0.5604020000000001,0.0,0.0,0.0,0.684404,angry
Thank You For The Music by Abba,4,1,0.288,0.416,0.353,199.517,0.347,0.238,0.231,0.19,0.472,1.0,0.246,0.156,0.146,0.184,0.151,0.147,0.0,0.0,0.958815,0.0,0.0,0.57416,0.0,happy
Durch die Nacht by Silbermond,2,1,0.513,0.715,0.339,139.993,1.0,0.734,0.052,0.027,0.13,0.633,0.025,0.024,0.022,0.029,0.011,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
The Visit (She Was Here) by The Cyrkle,7,1,0.696,0.133,0.653,116.456,0.015,0.039,0.008,0.009,0.02,0.195,1.0,0.145,0.026,0.039,0.03,0.021,0.0,0.0,0.548007,0.0,0.584719,0.0,0.833659,relaxed
Fury by Prince,5,1,0.584,0.887,0.76,130.636,0.538,1.0,0.701,0.358,0.372,0.314,0.346,0.461,0.641,0.436,0.285,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.776674,angry
Overjoyed by Magnet,7,0,0.506,0.422,0.316,137.955,0.22,0.117,1.0,0.131,0.093,0.137,0.202,0.132,0.046,0.115,0.085,0.084,0.0,0.0,0.0,0.0,0.650284,0.0,0.0,relaxed
A Place In The Dirt by Marilyn Manson,7,1,0.5,0.792,0.13,122.074,0.425,1.0,0.508,0.526,0.416,0.528,0.362,0.374,0.399,0.307,0.17,0.163,0.0,0.0,0.0,0.0,0.0,0.761642,0.0,sad
Skies So Blue by The Rocket Summer,9,1,0.442,0.87,0.583,159.055,1.0,0.894,0.307,0.311,0.297,0.296,0.269,0.206,0.145,0.086,0.063,0.272,0.0,0.0,0.707483,0.5595899999999999,0.0,0.0,0.730029,happy
The Fear by Pulp,9,0,0.155,0.807,0.334,176.647,0.627,0.807,1.0,0.88,0.581,0.476,0.501,0.415,0.505,0.619,0.512,0.484,0.0,0.8520549999999999,0.0,0.0,0.0,0.0,0.920133,sad
Gather Me Up Forever by My Dying Bride,1,1,0.177,0.803,0.138,79.18,0.861,0.973,1.0,0.916,0.808,0.744,0.638,0.515,0.42,0.311,0.251,0.253,0.0,0.0,0.0,0.788682,0.0,0.0,0.586281,sad
Let's Get Known by The Unicorns,11,1,0.543,0.555,0.487,100.211,0.546,0.435,0.52,0.484,0.294,0.41,0.484,0.302,0.59,0.531,0.743,1.0,0.0,0.0,0.0,0.0,0.903856,0.0,0.50589,happy
Take Me For A Little While by Coverdale/Page,9,0,0.181,0.563,0.175,137.752,0.542,1.0,0.859,0.871,0.584,0.581,0.448,0.442,0.561,0.516,0.541,0.474,0.0,0.0,0.597117,0.0,0.558477,0.0,0.0,sad
It's Not The Fall That Hurts by Caesars,6,0,0.391,0.938,0.665,146.334,0.74,0.868,0.92,0.705,0.962,0.714,0.828,0.843,0.778,0.724,0.875,1.0,0.0,0.0,0.0,0.6194850000000001,0.0,0.0,0.0,happy
Something Beautiful by Newsboys,0,1,0.608,0.84,0.893,128.011,0.193,1.0,0.346,0.114,0.096,0.112,0.104,0.097,0.11,0.11,0.106,0.062,0.0,0.0,0.65009,0.0,0.0,0.0,0.929579,happy
