Song,Key,Mode,Danceability,Energy,Valence,Tempo,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,T-Anger,T-Fear,T-Joy,T-Sadness,T-Analytical,T-Confident,T-Tentative,Mood
He Is Sailing by Jon & Vangelis,6,1,0.649,0.445,0.489,122.891,0.262,1.0,0.247,0.29,0.165,0.219,0.18,0.114,0.159,0.081,0.1,0.152,0.0,0.0,0.7866,0.0,0.0,0.0,0.0,relaxed
For the Damaged by Blonde Redhead,0,0,0.499,0.468,0.0763,141.463,0.829,1.0,0.969,0.706,0.464,0.36,0.524,0.539,0.482,0.31,0.333,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.969598,angry
This Is Not an Exit by Anthrax,3,0,0.328,0.976,0.0671,137.31,1.0,0.467,0.304,0.306,0.309,0.456,0.44,0.339,0.298,0.322,0.397,0.489,0.0,0.5316649999999999,0.0,0.0,0.84493,0.693873,0.0,angry
Peace Beneath the City by Iron & Wine,1,0,0.622,0.458,0.779,120.299,0.191,0.216,0.154,0.107,0.194,0.198,0.242,1.0,0.295,0.171,0.067,0.138,0.0,0.0,0.603142,0.0,0.0,0.0,0.0,relaxed
Ether by Nas,7,1,0.573,0.831,0.766,76.352,0.886,1.0,0.215,0.178,0.18,0.177,0.32,0.334,0.576,0.497,0.575,0.267,0.608843,0.0,0.0,0.604274,0.0,0.0,0.0,angry
The Ice Hotel by Stacey Kent,1,0,0.619,0.45,0.291,144.025,0.928,1.0,0.344,0.249,0.19,0.17,0.21,0.216,0.142,0.125,0.173,0.339,0.0,0.0,0.7144520000000001,0.0,0.0,0.0,0.0,relaxed
That's Good by Devo,4,1,0.795,0.623,0.683,151.847,1.0,0.995,0.563,0.531,0.498,0.51,0.487,0.47,0.461,0.418,0.426,0.604,0.0,0.0,0.818988,0.0,0.0,0.0,0.8392649999999999,happy
Can We Find A Reason? by Lenny Kravitz,6,0,0.514,0.597,0.26,117.24,0.336,0.313,0.329,0.38,0.302,0.464,0.439,0.112,0.076,0.266,0.175,1.0,0.0,0.0,0.0,0.6409199999999999,0.0,0.0,0.916274,sad
Mighty Healthy by Ghostface Killah,9,0,0.644,0.946,0.53,88.828,1.0,0.463,0.085,0.025,0.019,0.043,0.04,0.04,0.022,0.03,0.016,0.393,0.655705,0.7052430000000001,0.0,0.664011,0.0,0.0,0.751891,angry
We Suck Young Blood by Radiohead,3,0,0.135,0.239,0.0378,77.042,1.0,0.989,0.448,0.412,0.395,0.403,0.375,0.346,0.345,0.312,0.278,0.443,0.0,0.0,0.636905,0.642732,0.0,0.0,0.0,sad
Tequila Makes Her Clothes Fall Off by Joe Nichols,2,1,0.664,0.706,0.681,93.968,1.0,0.968,0.198,0.232,0.22,0.25,0.261,0.254,0.231,0.174,0.15,0.142,0.0,0.0,0.0,0.661126,0.0,0.0,0.0,happy
House on the Hill by Beach House,3,0,0.219,0.24,0.0797,145.826,0.819,0.401,0.326,0.276,0.432,1.0,0.715,0.194,0.692,0.546,0.475,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.9932840000000001,relaxed
You're Pretty When I'm Drunk by Bloodhound Gang,1,1,0.918,0.323,0.556,95.08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.721298,0.0,0.0,0.0,0.0,0.0,0.910926,happy
Bittersweet by Apocalyptica,7,0,0.255,0.425,0.0789,111.129,0.134,0.131,0.282,0.282,0.167,0.261,0.625,1.0,0.921,0.402,0.238,0.147,0.0,0.0,0.0,0.502976,0.0,0.0,0.0,sad
Friend Like Me by Robin Williams,7,0,0.654,0.599,0.649,96.942,0.393,0.201,1.0,0.166,0.97,0.659,0.256,0.76,0.157,0.475,0.105,0.775,0.0,0.0,0.618765,0.0,0.0,0.0,0.914208,happy
Just Another High by Roxy Music,10,1,0.496,0.838,0.527,96.165,1.0,0.407,0.228,0.261,0.197,0.19,0.18,0.198,0.245,0.189,0.09,0.957,0.0,0.0,0.593765,0.6303989999999999,0.0,0.0,0.9318549999999999,sad
Senses Working Overtime by XTC,0,1,0.68,0.665,0.862,129.899,1.0,0.757,0.305,0.303,0.209,0.199,0.15,0.161,0.088,0.084,0.457,0.049,0.0,0.0,0.646766,0.0,0.0,0.886647,0.0,angry
Ebony Tears by Cathedral,6,0,0.235,0.593,0.145,117.423,0.189,0.112,0.265,0.234,0.163,0.214,0.256,1.0,0.989,0.263,0.231,0.164,0.0,0.0,0.0,0.539992,0.816179,0.9169639999999999,0.0,sad
"Cecille, My Love by J. Tillman",4,1,0.368,0.0448,0.22,81.426,1.0,0.263,0.096,0.122,0.097,0.071,0.075,0.068,0.048,0.048,0.038,0.158,0.52999,0.0,0.0,0.0,0.0,0.0,0.0,relaxed
Round And Round by Jagged Edge,7,1,0.627,0.608,0.526,80.182,0.491,0.397,1.0,0.157,0.846,0.187,0.421,0.365,0.14,0.609,0.135,0.764,0.0,0.0,0.541528,0.0,0.0,0.0,0.0,relaxed
Dizzy by Jimmy Eat World,8,1,0.373,0.938,0.43,163.036,0.679,0.797,1.0,0.766,0.477,0.399,0.444,0.513,0.477,0.752,0.933,0.801,0.0,0.0,0.0,0.0,0.575542,0.0,0.73063,sad
Angels Fall First by Nightwish,9,0,0.356,0.425,0.0893,120.475,1.0,0.948,0.08,0.057,0.048,0.032,0.036,0.033,0.026,0.022,0.017,0.172,0.0,0.0,0.0,0.67694,0.0,0.730865,0.0,sad
Seems To Be on My Mind by Suburban Kids With Biblical Names,1,1,0.697,0.795,0.947,112.223,0.874,0.927,0.687,0.64,0.606,0.754,0.879,0.987,1.0,0.777,0.66,0.76,0.0,0.0,0.6135619999999999,0.0,0.0,0.815257,0.0,happy
The Wexford Carol by Celtic Woman,0,1,0.24,0.0518,0.275,173.432,0.515,0.489,0.465,0.453,0.416,0.543,0.632,0.588,0.491,0.708,1.0,0.867,0.0,0.0,0.9139010000000001,0.0,0.0,0.78945,0.0,relaxed
Everybody's Got A Ticket To Ride Except For Me And My Lightning by Beatallica,0,0,0.503,0.975,0.423,140.989,1.0,0.929,0.488,0.512,0.617,0.595,0.773,0.733,0.754,0.656,0.659,0.183,0.0,0.0,0.627378,0.0,0.0,0.0,0.623954,happy
Babyfather by Sade,11,0,0.76,0.597,0.744,137.992,0.135,0.63,0.631,0.623,1.0,0.999,0.588,0.578,0.111,0.093,0.088,0.086,0.0,0.0,0.934982,0.0,0.0,0.0,0.7868649999999999,relaxed
Flagpole Sitta by Harvey Danger,4,0,0.361,0.901,0.482,144.97,1.0,0.786,0.751,0.602,0.387,0.458,0.367,0.241,0.432,0.442,0.697,0.257,0.0,0.0,0.0,0.0,0.0,0.0,0.639367,happy
If It's The Beaches by The Avett Brothers,5,1,0.519,0.215,0.11,88.334,1.0,0.294,0.501,0.372,0.19,0.584,0.552,0.241,0.239,0.186,0.166,0.755,0.0,0.0,0.0,0.776976,0.873474,0.0,0.8915290000000001,sad
Penses-Donc (Tu Es Seule) by Julie Doiron,5,1,0.668,0.0199,0.0414,143.349,0.2,0.213,0.2,0.171,0.116,0.443,0.33,0.222,0.239,0.301,1.0,0.744,0.0,0.0,0.0,0.0,0.530786,0.0,0.0,sad
The Company Dime by The Get Up Kids,7,1,0.397,0.915,0.621,147.559,0.49,0.269,0.227,0.213,0.517,1.0,0.312,0.129,0.145,0.177,0.163,0.168,0.0,0.0,0.0,0.541759,0.7151689999999999,0.9010360000000001,0.0,happy
The Predator by Ice Cube,11,0,0.648,0.793,0.582,175.294,0.918,1.0,0.15,0.111,0.079,0.099,0.094,0.09,0.074,0.069,0.093,0.176,0.525097,0.0,0.0,0.0,0.0,0.0,0.0,angry
Evil in a Closet by In Flames,1,1,0.502,0.905,0.655,83.886,0.727,0.477,0.185,0.113,0.116,0.196,0.323,0.262,0.243,0.288,1.0,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.920133,sad
More Than This by Vanessa Carlton,2,1,0.422,0.502,0.154,197.944,0.778,0.273,0.109,0.076,0.096,0.297,0.617,0.361,0.756,0.746,1.0,0.157,0.0,0.0,0.623243,0.0,0.547016,0.862626,0.0,relaxed
I Turned You Down by Riverside,2,0,0.36,0.748,0.33,138.2,0.742,1.0,0.829,0.716,0.322,0.351,0.555,0.627,0.62,0.583,0.158,0.157,0.0,0.0,0.0,0.888164,0.0,0.0,0.0,sad
Where've You Been by Kathy Mattea,7,1,0.582,0.121,0.168,85.337,1.0,0.599,0.037,0.042,0.038,0.126,0.133,0.031,0.048,0.021,0.069,0.953,0.0,0.0,0.0,0.534546,0.0,0.6783239999999999,0.0,sad
Water Shows the Hidden Heart by Enya,9,1,0.149,0.298,0.0367,180.925,0.575,0.648,0.596,0.627,0.868,0.748,0.747,0.872,0.855,0.939,1.0,0.907,0.0,0.0,0.0,0.0,0.0,0.0,0.653201,relaxed
Sailor by Hem,7,1,0.261,0.0497,0.164,83.902,1.0,0.916,0.163,0.132,0.101,0.077,0.052,0.04,0.035,0.03,0.03,0.182,0.0,0.0,0.682534,0.0,0.0,0.0,0.571918,relaxed
It Keeps You Runnin' by The Doobie Brothers,7,1,0.786,0.46,0.861,132.503,0.231,0.193,0.238,0.23,0.133,0.159,0.531,1.0,0.901,0.343,0.118,0.195,0.0,0.0,0.0,0.81207,0.0,0.522234,0.0,relaxed
Everything Sucks by Dope,8,1,0.594,0.987,0.122,109.641,0.982,1.0,0.572,0.589,0.656,0.613,0.635,0.617,0.624,0.595,0.595,0.059,0.0,0.0,0.0,0.552783,0.0,0.0,0.979138,angry
Irresponsible Hate Anthem by Marilyn Manson,11,1,0.356,0.961,0.267,188.256,1.0,0.939,0.199,0.173,0.183,0.154,0.092,0.117,0.173,0.186,0.126,0.281,0.704643,0.0,0.0,0.0,0.0,0.6016699999999999,0.0,angry
Soho Nights by The Puppini Sisters,0,1,0.695,0.748,0.725,124.031,1.0,0.561,0.418,0.393,0.611,0.62,0.169,0.184,0.342,0.359,0.419,0.066,0.0,0.0,0.700558,0.0,0.0,0.0,0.0,happy
Echodyne Harmonic by Sparta,0,1,0.563,0.601,0.0859,131.218,0.137,0.127,0.109,0.118,0.209,0.449,0.226,1.0,0.955,0.373,0.164,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,relaxed
Tequila by The Champs,5,1,0.671,0.742,0.897,89.748,1.0,0.998,0.211,0.181,0.157,0.156,0.144,0.121,0.099,0.071,0.059,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy
Ace of Spades by Motorhead,3,0,0.329,0.974,0.234,140.862,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.547016,0.0,0.658666,angry
Lay It Down by Cowboy Junkies,2,1,0.614,0.258,0.0403,105.974,0.949,1.0,0.371,0.286,0.23,0.245,0.268,0.224,0.242,0.192,0.189,0.583,0.0,0.525249,0.0,0.0,0.0,0.735152,0.0,relaxed
Bad Girl  by Black Buddafly,0,1,0.796,0.693,0.802,94.588,0.329,0.276,0.252,0.347,0.369,1.0,0.916,0.262,0.129,0.111,0.059,0.078,0.0,0.0,0.0,0.67685,0.0,0.0,0.871282,happy
Something About You by Level 42,6,0,0.707,0.568,0.877,105.326,0.864,1.0,0.83,0.82,0.869,0.891,0.994,0.967,0.947,0.943,0.435,0.425,0.0,0.0,0.0,0.69655,0.631918,0.0,0.8034439999999999,happy
You Really Got Me by Kinks,8,1,0.573,0.939,0.963,137.382,1.0,0.994,0.756,0.73,0.713,0.716,0.704,0.694,0.683,0.663,0.65,0.499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
Oops!...I Did It Again by Britney Spears,1,0,0.751,0.834,0.894,95.053,0.712,1.0,0.452,0.356,0.256,0.631,0.335,0.362,0.92,0.337,0.691,0.82,0.0,0.0,0.0,0.5041329999999999,0.0,0.0,0.904459,happy
The Promise by The Cure,5,1,0.34,0.933,0.167,179.985,0.206,0.12,1.0,0.142,0.082,0.384,0.25,0.895,0.506,0.306,0.195,0.207,0.0,0.0,0.5728409999999999,0.0,0.9120590000000001,0.893243,0.0,angry
Tears of Laughter by Diary of Dreams,10,1,0.611,0.166,0.0376,132.057,0.989,1.0,0.564,0.507,0.455,0.439,0.406,0.394,0.417,0.423,0.391,0.533,0.0,0.0,0.0,0.785814,0.0,0.0,0.0,sad
Not Fair by Kate Havnevik,2,1,0.479,0.55,0.187,91.99,1.0,0.952,0.606,0.605,0.587,0.568,0.535,0.541,0.526,0.519,0.472,0.133,0.0,0.0,0.0,0.0,0.0,0.0,0.571918,relaxed
Hollaback Girl by Gwen Stefani,10,0,0.926,0.916,0.904,110.007,1.0,0.633,0.288,0.25,0.367,0.368,0.749,0.72,0.971,0.945,0.906,0.148,0.754418,0.0,0.0,0.0,0.0,0.0,0.880416,happy
The Everlasting by Manic Street Preachers,2,0,0.504,0.659,0.304,95.685,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5021100000000001,0.0,0.0,0.7677069999999999,0.0,sad
Downtown by Peaches,6,1,0.931,0.536,0.608,130.068,1.0,0.54,0.292,0.269,0.189,0.332,0.396,0.231,0.417,0.41,0.607,0.378,0.0,0.0,0.0,0.0,0.0,0.868085,0.0,happy
Middle of the Day by The Polyphonic Spree,4,0,0.136,0.13,0.0397,146.98,0.107,0.028,0.071,0.099,1.0,0.025,0.014,0.099,0.012,0.021,0.007,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.966403,sad
Sacrifice by London After Midnight,0,0,0.412,0.782,0.149,131.79,0.222,0.197,0.177,0.238,1.0,0.466,0.19,0.182,0.185,0.229,0.207,0.215,0.0,0.0,0.0,0.561488,0.781801,0.775381,0.0,sad
A Place In The Sun by Stevie Wonder,1,1,0.561,0.447,0.729,117.784,0.892,1.0,0.946,0.926,0.963,0.955,0.888,0.767,0.707,0.752,0.74,0.751,0.0,0.0,0.0,0.54615,0.0,0.0,0.7986949999999999,relaxed
The Wine Song by The Cat Empire,7,0,0.444,0.63,0.571,137.402,0.333,1.0,0.03,0.079,0.23,0.626,0.125,0.052,0.042,0.052,0.033,0.122,0.0,0.0,0.6415890000000001,0.0,0.568833,0.0,0.0,happy
Butterfly by Donavon Frankenreiter,7,1,0.814,0.391,0.213,116.567,1.0,0.795,0.584,0.588,0.631,0.649,0.336,0.312,0.337,0.394,0.394,0.305,0.0,0.0,0.562181,0.0,0.0,0.0,0.0,relaxed
War Pigs by Ozzy Osbourne,3,0,0.162,0.945,0.278,96.997,0.424,0.258,0.287,0.409,0.344,0.614,0.546,0.378,0.324,1.0,0.944,0.561,0.679316,0.0,0.0,0.0,0.0,0.0,0.8145560000000001,angry
Childhood by Beach House,8,1,0.573,0.179,0.174,106.81,0.318,0.01,0.006,0.02,0.014,0.475,0.012,0.02,1.0,0.018,0.016,0.025,0.0,0.0,0.0,0.636281,0.0,0.0,0.0,relaxed
The Shadow Proves The Sunshine by Switchfoot,4,1,0.544,0.809,0.232,111.963,0.636,0.724,1.0,0.815,0.835,0.721,0.786,0.809,0.66,0.82,0.714,0.818,0.0,0.730495,0.0,0.0,0.0,0.709964,0.0,relaxed
Cigarette by Ben Folds Five,3,1,0.399,0.1,0.0907,77.551,0.855,0.249,0.185,0.308,0.259,0.341,0.212,0.205,0.367,0.338,0.16,1.0,0.0,0.0,0.0,0.782321,0.0,0.0,0.8272879999999999,sad
I Wanna Be Me by The Sex Pistols,8,0,0.102,0.828,0.228,156.804,0.584,0.696,0.908,0.688,0.678,0.759,0.898,0.79,0.91,1.0,0.926,0.907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
The Twist by Chubby Checker,4,1,0.533,0.638,0.937,156.663,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.560301,0.0,0.0,0.0,0.8748049999999999,happy
Everybody Loves The Sunshine by Incognito,6,0,0.615,0.574,0.363,81.082,0.958,1.0,0.752,0.445,0.384,0.573,0.664,0.388,0.201,0.18,0.136,0.099,0.0,0.0,0.896083,0.0,0.0,0.0,0.920133,relaxed
Shake Yer Dix by Peaches,1,1,0.679,0.792,0.694,74.724,0.671,1.0,0.123,0.009,0.008,0.013,0.005,0.016,0.118,0.077,0.25,0.046,0.576658,0.0,0.0,0.0,0.0,0.0,0.0,happy
Soul in Isolation by The Chameleons,1,1,0.302,0.819,0.405,113.913,0.608,0.395,0.376,0.411,0.432,0.485,0.51,0.601,1.0,0.702,0.436,0.406,0.0,0.0,0.0,0.6983020000000001,0.0,0.0,0.898644,sad
What the Snowman Learned About Love by Stars,3,1,0.431,0.566,0.148,120.012,0.403,0.333,0.486,1.0,0.378,0.347,0.692,0.476,0.509,0.602,0.378,0.673,0.0,0.0,0.0,0.0,0.0,0.0,0.9804879999999999,relaxed
So What by The Anti-Nowhere League,2,1,0.472,0.903,0.582,99.972,0.76,0.706,1.0,0.957,0.64,0.691,0.986,0.546,0.882,0.596,0.594,0.649,0.865016,0.0,0.0,0.0,0.0,0.0,0.0,angry
Suck and Let Go by Peaches,11,1,0.783,0.628,0.45,132.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.579453,0.0,0.0,0.0,0.0,0.9807170000000001,0.0,happy
Illegal i Song by Velvet Revolver,7,1,0.435,0.991,0.156,98.349,0.222,0.137,0.209,0.529,0.223,0.152,0.158,0.475,1.0,0.429,0.346,0.274,0.637008,0.0,0.0,0.0,0.0,0.0,0.720168,angry
Chain Hang Low by Jibbs,4,0,0.792,0.589,0.778,157.147,0.735,0.688,0.682,0.673,0.572,0.571,0.994,0.995,0.999,1.0,0.658,0.655,0.0,0.0,0.0,0.0,0.0,0.0,0.795534,happy
I Run Away by Britney Spears,0,0,0.604,0.851,0.649,144.015,1.0,0.295,0.133,0.145,0.147,0.064,0.074,0.288,0.088,0.109,0.206,0.485,0.0,0.0,0.0,0.566732,0.0,0.0,0.0,sad
Swan Matches by Grand Archives,9,1,0.457,0.457,0.16,109.814,1.0,0.845,0.614,0.343,0.353,0.723,0.409,0.415,0.381,0.427,0.711,0.717,0.0,0.0,0.0,0.707236,0.674191,0.794212,0.0,relaxed
Pluto by Björk,8,1,0.584,0.823,0.323,148.068,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6243810000000001,0.0,0.0,0.0,0.0,0.0,0.647781,angry
Revelation by Brain Drill,1,1,0.226,0.969,0.248,101.84,0.541,0.591,0.549,0.587,0.7,1.0,0.921,0.806,0.829,0.369,0.381,0.495,0.0,0.0,0.0,0.0,0.0,0.874814,0.0,angry
I Tried by Anthony Hamilton,8,1,0.661,0.51,0.461,140.879,0.974,1.0,0.463,0.436,0.488,0.519,0.581,0.572,0.578,0.578,0.606,0.14,0.0,0.0,0.659095,0.0,0.0,0.0,0.871607,relaxed
Pull Up To The Bumper by Grace Jones,7,1,0.851,0.923,0.829,108.697,0.131,0.156,0.142,0.155,0.235,0.767,1.0,0.59,0.308,0.264,0.207,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.537725,happy
Wind It Up by Gwen Stefani,8,1,0.961,0.9,0.95,120.006,0.162,0.12,0.3,0.193,0.105,0.162,0.182,1.0,0.5,0.103,0.049,0.592,0.0,0.0,0.522311,0.579583,0.0,0.0,0.0,happy
Ban The Tube Top by Reel Big Fish,2,1,0.59,0.868,0.848,150.056,1.0,0.994,0.796,0.75,0.641,0.569,0.632,0.63,0.58,0.59,0.567,0.42,0.0,0.0,0.0,0.0,0.0,0.735152,0.0,happy
Rough Around The Edges by Teitur,8,1,0.553,0.444,0.275,107.414,0.526,1.0,0.056,0.027,0.01,0.025,0.007,0.006,0.023,0.022,0.08,0.007,0.0,0.0,0.0,0.68061,0.0,0.0,0.0,relaxed
Demon Days by Gorillaz,2,1,0.499,0.637,0.103,125.198,1.0,0.864,0.403,0.412,0.442,0.394,0.407,0.422,0.522,0.5,0.591,0.242,0.0,0.0,0.0,0.655088,0.0,0.648781,0.0,relaxed
China Roses by Enya,6,1,0.364,0.182,0.1,114.323,0.35,0.303,0.333,0.449,0.715,1.0,0.863,0.546,0.42,0.515,0.385,0.223,0.0,0.0,0.751954,0.0,0.0,0.0,0.0,relaxed
Cemetery Gates by Pantera,9,1,0.274,0.726,0.426,146.449,1.0,0.897,0.193,0.155,0.157,0.223,0.261,0.27,0.268,0.217,0.19,0.283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
Loose Heart by Riverside,7,0,0.266,0.817,0.314,153.755,1.0,0.899,0.534,0.584,0.544,0.529,0.589,0.54,0.562,0.569,0.457,0.235,0.0,0.0,0.0,0.720141,0.922717,0.0,0.0,sad
Look What You're Doin' To Me  by Jazzanova,1,1,0.611,0.58,0.83,123.542,1.0,0.491,0.461,0.461,0.311,0.31,0.341,0.34,0.193,0.194,0.5,0.436,0.0,0.0,0.6674180000000001,0.0,0.0,0.0,0.0,relaxed
Bleak by Opeth,9,0,0.251,0.866,0.3,94.98,0.204,0.16,0.153,0.221,1.0,0.208,0.249,0.335,0.416,0.314,0.297,0.38,0.0,0.0,0.0,0.832275,0.0,0.0,0.0,sad
White Cluster by Opeth,4,0,0.286,0.944,0.271,133.652,0.749,1.0,0.179,0.165,0.187,0.271,0.189,0.16,0.245,0.271,0.241,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Of Walking Abortion by Manic Street Preachers,2,1,0.511,0.94,0.366,139.032,0.111,0.146,0.713,0.135,1.0,0.104,0.084,0.077,0.079,0.091,0.043,0.034,0.0,0.0,0.0,0.53894,0.0,0.8218620000000001,0.0,angry
Flexin' by Shop Boyz,9,0,0.911,0.755,0.937,110.464,0.175,0.146,0.073,0.088,0.626,0.159,0.1,0.083,0.265,1.0,0.651,0.604,0.0,0.0,0.614142,0.0,0.0,0.0,0.654758,happy
Gimmie Gimmie Gimmie by Black Flag,1,1,0.568,0.604,0.416,99.071,0.812,0.561,0.27,0.321,0.154,0.782,0.674,0.059,0.23,0.135,0.665,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.742727,angry
Pictures by Timo Maas,11,0,0.508,0.866,0.668,137.808,0.795,0.97,0.934,0.618,1.0,0.799,0.552,0.574,0.492,0.423,0.452,0.803,0.0,0.0,0.0,0.6698729999999999,0.0,0.0,0.0,happy
Zero-Sum by Nine Inch Nails,5,1,0.77,0.605,0.382,148.057,0.867,0.252,0.031,0.029,0.042,0.045,0.078,0.07,0.463,0.467,1.0,0.028,0.0,0.0,0.0,0.534467,0.658473,0.608066,0.0,sad
The Girl From Ipanema by Astrud Gilberto,2,1,0.579,0.0858,0.341,119.199,0.808,0.45,0.165,0.281,0.294,0.376,0.356,0.241,0.314,0.605,0.837,1.0,0.0,0.0,0.693004,0.0,0.0,0.0,0.0,relaxed
Lyin' Ass Bitch by Fishbone,10,1,0.567,0.754,0.962,183.72,0.171,0.201,0.255,1.0,0.287,0.112,0.121,0.244,0.099,0.15,0.37,0.1,0.686301,0.0,0.0,0.5491090000000001,0.0,0.0,0.0,happy
