Song,T-Anger,T-Fear,T-Joy,T-Sadness,T-Analytical,T-Confident,T-Tentative,Mood
Bad Girl  by Black Buddafly,0,0,0,0.67685,0,0,0.871282,happy
Something About You by Level 42,0,0,0,0.69655,0.631918,0,0.803444,happy
You Really Got Me by Kinks,0,0,0,0,0,0,0,angry
Oops!...I Did It Again by Britney Spears,0,0,0,0.504133,0,0,0.904459,happy
The Promise by The Cure,0,0,0.572841,0,0.912059,0.893243,0,angry
Tears of Laughter by Diary of Dreams,0,0,0,0.785814,0,0,0,sad
Not Fair by Kate Havnevik,0,0,0,0,0,0,0.571918,relaxed
Hollaback Girl by Gwen Stefani,0.754418,0,0,0,0,0,0.880416,happy
The Everlasting by Manic Street Preachers,0,0,0.50211,0,0,0.767707,0,sad
Downtown by Peaches,0,0,0,0,0,0.868085,0,happy
Middle of the Day by The Polyphonic Spree,0,0,0,0,0,0,0.966403,sad
Sacrifice by London After Midnight,0,0,0,0.561488,0.781801,0.775381,0,sad
A Place In The Sun by Stevie Wonder,0,0,0,0.54615,0,0,0.798695,relaxed
The Wine Song by The Cat Empire,0,0,0.641589,0,0.568833,0,0,happy
Butterfly by Donavon Frankenreiter,0,0,0.562181,0,0,0,0,relaxed
War Pigs by Ozzy Osbourne,0.679316,0,0,0,0,0,0.814556,angry
Childhood by Beach House,0,0,0,0.636281,0,0,0,relaxed
The Shadow Proves The Sunshine by Switchfoot,0,0.730495,0,0,0,0.709964,0,relaxed
Cigarette by Ben Folds Five,0,0,0,0.782321,0,0,0.827288,sad
I Wanna Be Me by The Sex Pistols,0,0,0,0,0,0,0,angry
The Twist by Chubby Checker,0,0,0.560301,0,0,0,0.874805,happy
Everybody Loves The Sunshine by Incognito,0,0,0.896083,0,0,0,0.920133,relaxed
Shake Yer Dix by Peaches,0.576658,0,0,0,0,0,0,happy
Soul in Isolation by The Chameleons,0,0,0,0.698302,0,0,0.898644,sad
What the Snowman Learned About Love by Stars,0,0,0,0,0,0,0.980488,relaxed
So What by The Anti-Nowhere League,0.865016,0,0,0,0,0,0,angry
Suck and Let Go by Peaches,0.579453,0,0,0,0,0.980717,0,happy
Illegal i Song by Velvet Revolver,0.637008,0,0,0,0,0,0.720168,angry
Chain Hang Low by Jibbs,0,0,0,0,0,0,0.795534,happy
I Run Away by Britney Spears,0,0,0,0.566732,0,0,0,sad
Swan Matches by Grand Archives,0,0,0,0.707236,0.674191,0.794212,0,relaxed
Pluto by Björk,0.624381,0,0,0,0,0,0.647781,angry
Revelation by Brain Drill,0,0,0,0,0,0.874814,0,angry
I Tried by Anthony Hamilton,0,0,0.659095,0,0,0,0.871607,relaxed
Pull Up To The Bumper by Grace Jones,0,0,0,0,0,0,0.537725,happy
Wind It Up by Gwen Stefani,0,0,0.522311,0.579583,0,0,0,happy
Insomnia (Revised Album Version) by Tyler Hilton,0,0,0,0.749899,0.962385,0,0,relaxed
Ban The Tube Top by Reel Big Fish,0,0,0,0,0,0.735152,0,happy
Rough Around The Edges by Teitur,0,0,0,0.68061,0,0,0,relaxed
Demon Days by Gorillaz,0,0,0,0.655088,0,0.648781,0,relaxed
China Roses by Enya,0,0,0.751954,0,0,0,0,relaxed
Cemetery Gates by Pantera,0,0,0,0,0,0,0,angry
Loose Heart by Riverside,0,0,0,0.720141,0.922717,0,0,sad
Look What You're Doin' To Me  by Jazzanova,0,0,0.667418,0,0,0,0,relaxed
Bleak by Opeth,0,0,0,0.832275,0,0,0,sad
White Cluster by Opeth,0,0,0,0,0,0,0,sad
Of Walking Abortion by Manic Street Preachers,0,0,0,0.53894,0,0.821862,0,angry
Flexin' by Shop Boyz,0,0,0.614142,0,0,0,0.654758,happy
Gimmie Gimmie Gimmie by Black Flag,0,0,0,0,0,0,0.742727,angry
Pictures by Timo Maas,0,0,0,0.669873,0,0,0,happy
Zero-Sum by Nine Inch Nails,0,0,0,0.534467,0.658473,0.608066,0,sad
The Girl From Ipanema by Astrud Gilberto,0,0,0.693004,0,0,0,0,relaxed
What You Waiting For? by Franz Ferdinand,0,0,0,0,0,0,0.820124,happy
Lyin' Ass Bitch by Fishbone,0.686301,0,0,0.549109,0,0,0,happy
Would You...? by Touch and Go,0,0,0,0,0.952933,0.880065,0,happy
Anticipating by Britney Spears,0,0,0.767812,0,0,0,0,happy
Waiting For You by Cult of Luna,0.748184,0,0,0,0,0,0,sad
Captive Honour by Megadeth,0.772974,0,0,0,0,0,0,angry
Heaven's Gonna Burn Your Eyes by Thievery Corporation,0,0.640183,0.653166,0,0.697753,0.949397,0,relaxed
Right Side Of My Brain by The-Dream,0,0,0,0,0,0,0,sad
Walking by Tindersticks,0,0,0,0.527013,0,0,0,sad
Milk Lizard by The Dillinger Escape Plan,0,0,0,0,0,0,0.884138,angry
Smokestack Lightning by Howlin' Wolf,0,0,0,0,0,0,0.833659,angry
Sneakernight by Vanessa Hudgens,0,0,0.503721,0,0,0.61457,0,happy
Tie You Up (The Pain of Love) by The Rolling Stones,0,0,0,0.717578,0,0,0.700089,angry
The Earth is Broken by Tim Buckley,0,0,0,0,0,0,0.848508,sad
Cops and Robbers by The Hoosiers,0,0,0,0,0,0,0.561405,happy
Detour Ahead by Jane Monheit,0,0,0,0.620511,0,0.823523,0,relaxed
Window Seat by Erykah Badu,0,0,0,0.792865,0,0,0.891835,relaxed
Survival of the Fittest by Mobb Deep,0.630079,0,0,0,0,0,0.525791,angry
Dead to the World by Röyksopp,0,0,0,0.531901,0,0,0.902459,relaxed
Getcha Groove On by Limp Bizkit,0.762604,0,0,0,0,0.6336,0,angry
He Said She Said by Ashley Tisdale,0,0,0.670945,0,0,0,0.950145,happy
9 To 5 by Dolly Parton,0,0,0,0,0,0,0.54773,happy
Just One Fix by Ministry,0,0,0,0,0,0,0.804395,angry
A Time For Love by Shirley Horn,0,0,0.822938,0,0,0,0.972662,relaxed
Breakin' Dishes by Rihanna,0,0,0,0,0,0,0,angry
The Sailor Song by Toy-Box,0,0,0.76983,0,0.722389,0.892949,0,happy
Wild Child by Enya,0,0,0.509727,0,0.768228,0.589192,0,relaxed
Blood of Heroes by Megadeth,0,0,0,0,0,0,0,angry
Pumpkin Soup by Kate Nash,0,0,0,0.52916,0,0,0.973407,happy
My Violent Heart by Nine Inch Nails,0,0,0,0,0.689494,0,0,angry
The Conversation by Spahn Ranch,0,0,0.542801,0,0,0,0,sad
Faithful by Common,0,0,0.651019,0,0,0,0,relaxed
Jonz In My Bonz by D'Angelo,0,0,0,0.602031,0,0.735152,0,relaxed
She's Got A Reason by The Coral,0,0,0.904311,0,0,0.899403,0,relaxed
Mystery Repeats by Pete Philly & Perquisite,0,0,0.608723,0,0,0,0,happy
Redneck by Lamb of God,0.584386,0,0,0,0,0,0.84639,angry
99 by The Haunted,0,0,0,0.575794,0,0.943326,0,angry
Dunkelheit by Burzum,0,0,0,0,0.596122,0,0,sad
Microphones in the Trees by A Silver Mt. Zion,0,0,0.702792,0,0,0,0.616216,sad
Eyes Open by Gossip,0,0.627912,0,0,0,0,0.940365,angry
In My Tears by Emigrate,0,0,0,0.738609,0,0,0.827288,sad
Sonic Reducer by Dead Boys,0,0,0,0.5037,0,0,0.959646,angry
Something About You by Anthony David,0,0,0,0.579573,0.575542,0,0.905029,relaxed
Wishing Heart by Lisa Loeb,0,0,0,0.789901,0.711937,0,0,happy
Bottle Up And Explode! by Elliott Smith,0,0,0,0,0.508619,0,0,relaxed
The Tide by Neurosis,0,0,0,0,0,0.85399,0,sad
Wonderful Night by Fatboy Slim,0,0,0.761633,0,0,0,0,happy
Like I Love You by Justin Timberlake,0,0.532495,0.674407,0.553511,0,0,0.942654,happy
Weather by Amel Larrieux,0,0,0.670336,0,0.93401,0,0,relaxed
Listen To Your Body Tonight by Black Kids,0,0,0.818322,0,0,0,0,happy
Make Out Fall Out Make Up by Love Is All,0,0,0,0,0,0.859164,0,sad
Hickory Wind by The Byrds,0,0,0,0,0,0.678324,0,sad
Elysian Fields by Megadeth,0,0,0,0.560219,0.644255,0,0.785793,angry
Praise of Death by Slayer,0,0,0,0.738111,0,0,0,angry
Crazy In Love by Snow Patrol,0,0,0.67047,0,0,0,0.758042,happy
She's Got That Vibe by R. Kelly & Public Announcement,0,0,0.655454,0,0,0,0.820919,happy
Run for Your Life by The Beatles,0,0,0,0,0,0,0.689515,angry
Lilywhite by Cat Stevens,0,0,0,0,0.726585,0,0,relaxed
Bring the Noise by Anthrax,0.573269,0,0.520862,0,0,0.718218,0,angry
Ooh Ooh Baby by Britney Spears,0,0,0.660002,0,0,0,0,happy
Piece by Piece by Slayer,0,0,0,0.687317,0.70904,0,0,angry
In the Navy by Village People,0,0,0.799906,0,0,0,0,happy
Flashdance by Deep Dish,0,0,0.717709,0,0.756719,0,0.933633,happy
Brave New Girl by Britney Spears,0,0,0.81325,0,0,0,0.515201,happy
Summertime by Janis Joplin,0,0,0.822156,0,0,0,0,sad
Time to Start by Blue Man Group,0,0,0.712025,0,0,0,0,happy
Ride For Vengeance by Amon Amarth,0.554449,0,0,0,0,0,0,angry
Piano Song by Tindersticks,0.745289,0,0,0,0.976689,0,0,sad
Great Big White World by Marilyn Manson,0,0,0.674393,0,0,0,0.660039,sad
Black Mirror by Arcade Fire,0,0,0,0,0.723042,0,0,sad
Voodoo People by The Prodigy,0,0,0.721133,0,0,0,0,angry
Baby Don't You Cry No More by Frida,0,0,0,0,0,0,0.686656,relaxed
Mariella by Kate Nash,0,0,0,0.531428,0,0,0.787127,happy
Under A Killing Moon by Thrice,0,0,0,0.630184,0,0,0.743794,angry
Blue Ridge Mountains by Fleet Foxes,0,0,0,0,0,0,0.751891,relaxed
(Lack of) Love Will Tear Us Apart by The Honeydrips,0,0,0,0.772378,0,0,0.979493,relaxed
Gazebo Tree by Kristin Hersh,0,0,0.764359,0,0,0.770765,0,sad
Haunted By the Thought of You by Jill Tracy,0,0.770542,0,0,0,0,0,sad
Bring It All Back by S Club 7,0,0,0.786419,0,0,0,0,happy
Coldest Winter by Kanye West,0,0,0,0.940913,0,0.532529,0,sad
Left Right by The Chemical Brothers,0,0,0,0.58466,0,0.814319,0,angry
Ghosts by Antimatter,0,0,0,0,0,0,0.798695,sad
Voice Inside My Head by Dixie Chicks,0,0.541842,0,0.590482,0.786301,0,0.862235,sad
"Broken, Beat & Scarred by Metallica",0,0.668621,0,0,0,0,0,angry
PhotoSynthesis by Carbon Based Lifeforms,0,0,0,0.591983,0,0,0.976157,relaxed
This Is Pop? by XTC,0,0,0,0.559526,0,0,0.742727,angry
The Darker Days Of Me & Him by PJ Harvey,0,0,0,0.645246,0.677232,0,0,sad
In Your Back by Keren Ann,0,0,0,0.861068,0,0.697569,0,relaxed
Bitter by Nine Days,0,0,0,0.666864,0,0,0.792377,sad
Modern Art by Art Brut,0,0,0.865796,0,0,0,0.647781,happy
Shine by Laura Marling,0,0,0,0.60357,0,0.775381,0,sad
Living Next Door To Alice  by Smokie,0,0,0,0.58113,0,0,0.970634,relaxed
Blood and Thunder by Mastodon,0,0,0,0,0,0,0.865388,angry
Watch T.V. by Rasputina,0,0.567952,0.573143,0.699426,0,0.522234,0,sad
My Name Is by Eminem,0.534343,0,0,0,0,0,0,happy
Cast Anchor by Hanne Hukkelberg,0,0,0,0,0,0.85399,0,relaxed
Here You Come Again by Dolly Parton,0,0,0.786784,0,0,0,0.952939,happy
Some Voices by Pinback,0,0,0.589078,0,0,0,0,relaxed
Me Against the World by 2Pac,0,0.517572,0,0,0,0,0.796798,angry
The Look Of Love by Chris Botti,0,0,0.572392,0,0,0,0.833659,relaxed
In the Sun by Mortal Love,0,0,0,0.931553,0,0,0.571918,sad
Holiday in Cambodia by Dead Kennedys,0,0,0,0,0,0,0,angry
In Too Far by Acceptance,0,0,0,0.658781,0,0,0.661394,relaxed
Neverending Math Equation by Sun Kil Moon,0,0,0,0.605444,0,0,0.814048,relaxed
I Do Not Want This by Nine Inch Nails,0,0.525076,0,0.58477,0.5819,0,0.923569,angry
Technologic by Daft Punk,0.5229,0,0,0.5996,0,0,0,happy
Valentine by Martina McBride,0,0,0,0.575851,0.631918,0,0,relaxed
Lie Detector by Sleeper,0,0,0.792732,0,0,0,0,happy
Deora Ar Mo Chroí by Enya,0,0,0,0,0,0,0,relaxed
Daydreaming by Massive Attack,0,0,0.669501,0,0,0,0,relaxed
Lie To Me by Silverchair,0.794989,0,0,0,0,0,0,angry
Spiderwebs by No Doubt,0,0,0,0.601835,0,0,0,happy
The Blob by The Five Blobs,0.518304,0,0,0,0,0,0,happy
4st 7lb by Manic Street Preachers,0,0,0,0,0,0,0,angry
Guardian Angel by Saybia,0,0,0.79779,0,0.947969,0,0,sad
Crystal Skull by Mastodon,0,0,0.627344,0,0.838983,0.78945,0,angry
IMN by Mudvayne,0.675956,0,0,0,0,0,0.582653,angry
Waltz for Koop by Koop,0,0,0.589613,0,0,0,0.68097,relaxed
Total Eclipse of the Moon by Enigma,0,0,0.564081,0,0.780427,0,0,relaxed
1nce Again by A Tribe Called Quest,0.694182,0,0,0,0,0,0.611278,relaxed
Ribbon In The Sky by Stevie Wonder,0,0,0.890831,0,0.580447,0,0.808202,relaxed
You're Going Down by Sick Puppies,0,0,0,0.521039,0.788671,0,0,angry
Vince The Loveable Stoner by The Fratellis,0,0,0.830804,0,0,0.787083,0,happy
Lovesong For A Dead Child by Flowing Tears,0,0,0,0.807825,0,0.886188,0,sad
Pull Out by Death From Above 1979,0,0,0,0,0,0,0,happy
Claire by Jimmy Eat World,0,0,0.539546,0,0,0,0,relaxed
Hot Hot Hot by Buster Poindexter,0,0,0.783576,0,0,0,0,happy
Time by Susanna and the Magical Orchestra,0,0,0.619115,0,0.838983,0,0,relaxed
The Night They Drove Old Dixie Down by Joan Baez,0,0,0,0.531397,0,0,0,sad
Carolyna by Melanie C,0,0,0,0.571964,0,0,0,sad
O Sonho by Madredeus,0,0,0,0,0,0,0,relaxed
Miasma by The Black Dahlia Murder,0,0,0,0.790012,0,0,0.782938,angry
Children's Crusade by Sting,0,0,0,0.552276,0,0.852271,0,sad
That Lonesome Road by James Taylor,0,0,0,0,0,0.869578,0,sad
U Not Like Me by 50 Cent,0.665064,0,0,0,0,0,0.834843,angry
Stoned Is the Way of the Walk by Cypress Hill,0.565912,0,0,0,0,0,0.880429,angry
God Is Real by India.Arie,0,0,0.835317,0,0,0,0.531174,relaxed
The Nigga Ya Love to Hate by Ice Cube,0.792167,0,0,0,0,0,0,angry
Grease by Frankie Valli,0,0,0,0.660656,0.519811,0,0.607065,happy
I Want a New Drug by Huey Lewis & The News,0,0.524724,0,0.522442,0,0,0.909175,happy
Rock of Ages by Grant Lee Buffalo,0,0,0,0,0,0,0.531174,sad
Caught Out There by Kelis,0.662899,0,0,0,0,0,0,angry
She's My Man by Scissor Sisters,0,0,0,0,0,0,0.754194,happy
Lake Shore Drive by The Innocence Mission,0,0,0.719836,0,0,0,0.68097,relaxed
Like The Last Time by Matt Wertz,0,0.919589,0,0,0,0,0.50589,relaxed
Solitude  by Ella Fitzgerald,0,0,0,0.778559,0,0,0,relaxed
Thirteen by Ben Kweller,0,0,0.747674,0,0,0,0,sad
Running Out of Time by Ozzy Osbourne,0,0,0,0.631839,0,0,0.596079,angry
Travelling Light by Tindersticks,0,0,0.542208,0,0.62902,0,0,sad
Girl Boy by Blonde Redhead,0,0,0.577789,0,0,0,0.925837,relaxed
London's Burning by The Clash,0,0,0,0,0,0,0,angry
Bad Boy Boogie by Mark Kozelek,0,0,0,0.532139,0,0.60167,0,sad
The Long Day Is Over by Norah Jones,0,0,0,0.725819,0,0,0,relaxed
Sugar Baby Love by The Rubettes,0,0,0.718378,0,0.838983,0.869578,0,happy
Green Island Serenade by Vienna Teng,0,0,0.823029,0,0,0,0.531174,relaxed
Ailleurs by Keren Ann,0,0,0.512685,0,0,0,0,relaxed
Queremos paz by Gotan Project,0,0,0,0,0.970663,0,0,relaxed
There Is Nothing I Can Do by The Organ,0,0,0,0.712003,0.896183,0,0,sad
Wolf in the Breast by Cocteau Twins,0,0,0,0,0.530399,0,0.641338,relaxed
People Are People by A Perfect Circle,0,0,0,0.653713,0,0,0,relaxed
At the Left Hand Ov God by Behemoth,0,0,0.842919,0,0,0,0,angry
Blah Blah Blah  by Ke$ha,0,0,0.573058,0,0,0,0.966403,happy
The Sounds Of Science by Beastie Boys,0,0,0,0,0,0,0,happy
Glory by Essie Jain,0,0,0,0,0.810289,0,0,relaxed
Baby Boy by Beyoncé,0,0,0.662391,0,0,0,0,happy
Mi Le M' Uilinn by Karen Matheson,0,0,0,0,0,0,0,relaxed
Stacy's Mom by Fountains Of Wayne,0,0,0,0,0,0,0,happy
Declaration Of Love by Céline Dion,0,0,0.872795,0,0,0.544352,0,happy
Welcome to the Terrordome by Public Enemy,0.541523,0,0,0,0,0,0,angry
No Vaseline by Ice Cube,0.699903,0,0,0,0,0.525289,0,angry
Welcome to the Slaughterhouse by Lily Holbrook,0,0,0,0.583241,0,0,0.893364,sad
Miss You Love by Silverchair,0,0,0,0.670169,0,0,0.954411,sad
Vortex by Megadeth,0,0.504244,0,0.60791,0,0,0,angry
Sometimes by Ours,0,0,0,0,0,0.803844,0,sad
The Pirates Who Don't Do Anything by Relient K,0,0,0,0,0,0,0.884138,happy
Call Your Name by Daughtry,0,0,0,0.856093,0,0.757135,0,sad
New Deep by John Mayer,0,0,0,0,0,0,0,relaxed
Awake by Moonspell,0,0,0,0.775447,0,0.869578,0,sad
Who Knows Who Cares by Local Natives,0,0,0.7192,0,0.624321,0,0.795534,sad
Damage Inc. by Metallica,0,0,0,0.581816,0,0,0,angry
Let Your Love Be Strong by Switchfoot,0,0,0,0,0.811599,0,0.959436,sad
Sister Of Night by Depeche Mode,0,0,0,0,0,0.571226,0,sad
Take my Scars by Machine Head,0,0.620874,0,0,0,0,0.537725,angry
Look What You're Doin' To Me by Jazzanova,0,0,0.667418,0,0,0,0,relaxed
Alpha Centauri by At The Drive-In,0,0,0,0.702825,0.814512,0,0,angry
Thoughtless by Korn,0,0,0,0.877218,0,0,0,angry
Satellite by Dave Matthews Band,0,0,0.744143,0,0,0,0.823467,relaxed
Over The Rainbow by Celtic Woman,0,0,0.735183,0,0,0,0.779803,relaxed
El Paso by Marty Robbins,0,0,0.677977,0,0,0,0.581449,relaxed
Stupid In Love by Rihanna,0.7371,0,0,0,0,0,0.85781,sad
If I Fall by Amber Pacific,0,0,0,0.641017,0,0,0,sad
Time To Let Go by Sally Shapiro,0,0,0,0.516838,0.708284,0,0.833659,sad
Supremist by Slayer,0,0,0,0.689654,0,0.946092,0,angry
"The Blood, the Sweat, the Tears by Machine Head",0,0,0,0.538199,0,0.712699,0,angry
Louie by Ida Maria,0,0.572685,0,0,0.738651,0,0.949952,happy
Never Ever by Shout Out Louds,0,0,0,0.607371,0,0.883627,0,happy
Hold It Up by The Rocket Summer,0,0,0.515448,0.632127,0,0,0.881481,happy
Shadows Fall by The Coral,0,0,0,0.546035,0,0,0,happy
"Keep It Loose, Keep It Tight by Amos Lee",0,0,0,0,0.596122,0,0.689515,relaxed
Say Just Words by Paradise Lost,0.628685,0,0,0,0,0,0.937445,sad
Soldier Side by System of a Down,0,0,0,0.75178,0,0,0.804395,angry
These Eyes by India.Arie,0,0,0.695667,0,0,0,0,relaxed
So Desperate by The Mountain Goats,0,0,0,0.768136,0.654266,0,0.817737,sad
Continental Drift (Flight Of The Bootymademoiselle) by Ozma,0,0,0,0.79466,0,0.825187,0,sad
Love Grows (Where My Rosemary Goes) by Edison Lighthouse,0,0,0.665638,0,0,0,0.969598,happy
Indians by Anthrax,0,0,0,0,0.692095,0,0,angry
Favorite Disease by Thousand Foot Krutch,0,0.645442,0,0.638659,0,0,0.904259,sad
Meet Me in the Morning by Everything But The Girl,0,0,0.541947,0,0,0,0,relaxed
Little Horn by Marilyn Manson,0.540638,0,0,0,0,0,0.524716,angry
Get It And Go by Razorlight,0,0,0,0.5885,0.717459,0,0,happy
Rabiosa by Shakira,0,0,0,0,0,0,0,happy
Times May Change You by Goldfish,0,0,0,0,0.913517,0,0.874805,relaxed
Autobahn by Kraftwerk,0,0,0,0,0,0,0,relaxed
Siberian Divide by Mastodon,0,0,0,0,0,0,0,angry
Unforgivable Sinner by Lene Marlin,0,0,0,0.509282,0,0,0.916878,sad
Vagabond by Wolfmother,0,0,0,0.745965,0.876303,0,0,happy
White Light/White Heat by Velvet Underground,0,0,0.508787,0,0,0.583105,0,angry
Whistle And Steam by Thea Gilmore,0,0,0,0,0.61814,0,0.900199,relaxed
CONCEIVED SORROW by DIR EN GREY,0,0,0,0,0,0,0,sad
I Found Out by John Lennon,0,0,0,0.716031,0,0,0,angry
Girl Anachronism by The Dresden Dolls,0,0,0,0,0,0,0.939317,angry
Bullet with your name by Scars of life,0,0,0,0,0,0,0,angry
Altar of Sacrifice by Slayer,0,0,0,0.647451,0,0,0,angry
Gave Up by Nine Inch Nails,0,0,0,0.701771,0,0,0.59806,angry
Evil Walks by AC/DC,0,0.556096,0,0,0,0,0.836844,angry
Love Light In Flight by Stevie Wonder,0,0,0.911591,0,0.617378,0,0.538245,happy
Snow Angel by Ron Sexsmith,0,0,0.766843,0,0.558911,0.714073,0,relaxed
Fight Till Death by Slayer,0,0,0,0,0,0,0,angry
Youth by Soft Cell,0,0,0.702543,0,0,0,0,sad
Boy in a Rock and Roll Band by The Pierces,0,0,0.834758,0,0,0,0.599385,happy
Kiss Me Where It Smells Funny by Bloodhound Gang,0,0,0.630957,0,0,0,0.829677,happy
Together by The Intruders,0,0,0,0,0,0,0.981844,relaxed
Spoon by Cut Chemist,0,0,0,0.575577,0,0.979426,0,relaxed
Jump by Girls Aloud,0,0,0.932548,0,0,0,0.674228,happy
Little Girl Blue by Diana Krall,0,0,0,0,0,0,0.949449,relaxed
Miracles by Jefferson Starship,0,0,0,0,0.549712,0,0.944454,relaxed
Rockupation by Mad Caddies,0,0,0,0,0,0.641705,0,happy
Melt Away by Mariah Carey,0,0,0,0.573639,0,0,0.945551,relaxed
Da Mystery of Chessboxin' by Wu-Tang Clan,0,0,0,0,0,0,0.647781,angry
Last Resort by Papa Roach,0,0,0,0.654256,0,0,0.869362,angry
Falling Out Of Reach by Guillemots,0,0,0,0.69933,0,0,0.567218,relaxed
LoveStoned/I Think She Knows Interlude by Justin Timberlake,0.500032,0,0,0,0,0,0.851726,happy
Needle and Thread by Psapp,0,0,0,0,0,0.748232,0,relaxed
Lovesick for Mina by Cradle of Filth,0,0,0.669957,0,0,0,0,angry
Friday Night by Lily Allen,0,0,0,0,0,0,0,happy
