Song,T-Anger,T-Fear,T-Joy,T-Sadness,T-Analytical,T-Confident,T-Tentative,Mood
A Place In The Dirt by Marilyn Manson,0,0,0,0,0,0.761642,0,sad
Skies So Blue by The Rocket Summer,0,0,0.707483,0.55959,0,0,0.730029,happy
The Fear by Pulp,0,0.852055,0,0,0,0,0.920133,sad
Goodbye Suicide by Nicky Wire,0,0,0,0.946023,0,0,0,sad
Gather Me Up Forever by My Dying Bride,0,0,0,0.788682,0,0,0.586281,sad
Let's Get Known by The Unicorns,0,0,0,0,0.903856,0,0.50589,happy
Take Me For A Little While by Coverdale/Page,0,0,0.597117,0,0.558477,0,0,sad
It's Not The Fall That Hurts by Caesars,0,0,0,0.619485,0,0,0,happy
Something Beautiful by Newsboys,0,0,0.65009,0,0,0,0.929579,happy
Pi by Hard 'n Phirm,0,0,0,0,0,0.828525,0,happy
A Doomed Lover by My Dying Bride,0,0.532711,0,0.661683,0,0,0,sad
Marie Cherie by Annie,0,0,0,0,0.647919,0,0.637078,sad
Sex im Hotel by Rosenstolz,0,0,0,0,0,0,0,happy
Let Love by Res,0,0,0.648116,0,0,0,0.900953,relaxed
The Invisible Man by Marillion,0,0,0,0,0,0,0,sad
66 by Afghan Whigs,0,0,0,0,0,0,0.616216,happy
Shell by Susie Suh,0,0,0,0.674308,0,0,0,relaxed
Not the Same by Dinosaur Jr.,0,0,0,0.573852,0,0,0.776674,sad
I'm Gonna Getcha Good! by Shania Twain,0,0,0.708898,0,0,0,0,happy
Part-Time Lover by Stevie Wonder,0,0,0.666287,0,0.777594,0,0.71572,happy
Tahroja paperilla by Eppu Normaali,0,0,0,0,0,0,0,sad
Battery by Metallica,0,0,0,0.752273,0.596122,0.880065,0,angry
Son by Juana Molina,0,0,0,0,0,0,0,relaxed
Your Only Doll (Dora) by Laura Marling,0.524287,0,0,0,0,0,0,relaxed
Joy To The World by Three Dog Night,0,0,0.862022,0,0,0.802874,0,happy
I Just Wanna Love U (Give It 2 Me) by JAY-Z,0,0,0.559856,0,0,0,0,happy
To The Music by Colder,0,0,0.792212,0,0,0,0.616216,happy
English Girl by Eagles of Death Metal,0,0,0,0,0,0,0.896412,happy
Jump by Kris Kross,0,0,0,0,0,0,0,happy
Teen Angel by Mark Dinning,0,0,0.566267,0,0,0,0,sad
Girls Just Want To Have Fun by Starfucker,0,0,0.601936,0,0,0,0.811378,happy
"Christmas At Ground Zero by ""Weird Al"" Yankovic",0,0,0.507771,0,0,0,0,happy
Johnny W. by Marius Müller-Westernhagen,0,0,0,0,0,0,0,sad
Demolishor by The Acacia Strain,0,0,0,0,0,0,0.949952,angry
Assimilate by Skinny Puppy,0,0,0,0,0,0,0.852741,angry
Me Ves Y Sufres by Hope of the States,0.544238,0,0.533268,0.623386,0,0,0.871674,sad
Nebel by Rammstein,0,0,0,0,0,0,0,sad
My Doorbell by The White Stripes,0,0,0,0,0,0,0.768569,happy
Down Payment Blues by AC/DC,0,0,0,0,0.574579,0,0,angry
Utopia by Goldfrapp,0,0,0,0.564522,0.681506,0,0.958239,relaxed
Your Emotions by Dead Kennedys,0,0,0,0.528381,0.61361,0,0,angry
For You by Sarah Blasko,0,0,0.536557,0,0,0,0.896412,relaxed
Je Veux Te Voir (Club-Club Version) by Yelle,0,0,0,0,0,0,0,happy
Rip The Heart Out Of Me by Adema,0.585021,0,0,0.508278,0,0,0.692385,angry
When I Look In Your Eyes by The Romantics,0,0,0.666897,0,0,0,0,happy
Dead in Hollywood by Murderdolls,0.589337,0,0,0,0,0.697844,0,angry
Exploited Barmy Army by Exploited,0,0,0,0,0,0,0,angry
Somebody by Midge Ure,0,0,0,0.843639,0.765814,0,0.966403,sad
Remember Me by Qntal,0,0,0,0,0.952933,0,0,sad
Gotta Serve Somebody by Bob Dylan,0,0,0,0,0,0,0.994017,relaxed
Nothing Going On by Clawfinger,0,0,0.816416,0,0,0,0,angry
Sweeter Love by Blue Six,0,0,0.926814,0,0.736354,0,0.896412,relaxed
Let It Flow by Spiritualized,0,0,0,0,0.720783,0,0,relaxed
You Burn First by Alexisonfire,0.614347,0,0,0,0.929739,0,0.797093,angry
Dirty Mack by Ice Cube,0.694448,0,0,0,0,0,0.647781,angry
Time for Livin' by Beastie Boys,0,0,0,0,0,0.680879,0,angry
"Sinister in a State of Hope by Loney, dear",0,0,0.580424,0,0.612186,0,0.952443,relaxed
Squeeze Me by Kraak & Smaak,0,0,0,0,0,0.532529,0,happy
Kiss Off by Violent Femmes,0,0.608386,0,0.505243,0,0,0,angry
Shelter For My Soul by Bernard Fanning,0,0,0.747794,0,0,0.79901,0,sad
Depression by Black Flag,0,0,0,0.854337,0,0.571226,0,angry
Sweet Talkin' Woman by Electric Light Orchestra,0,0,0,0.506302,0,0,0.71572,happy
Nasty Girl by Vanity 6,0,0,0,0,0,0,0.597317,happy
Swim by In Flames,0,0,0.628462,0,0.870108,0,0,happy
Constellations by Jack Johnson,0,0,0.808116,0,0,0,0.936899,relaxed
Bright by Low,0,0,0,0,0,0,0,sad
Baby by Stephen Lynch,0,0,0.581735,0,0,0,0.553381,happy
Hey Dude by Beatallica,0,0,0.592201,0,0,0,0,happy
Palestina by Ministry,0,0,0.640881,0,0,0.890603,0,angry
You'd Be Surprised by Marilyn Monroe,0,0,0,0,0,0,0,happy
"No Mirror, No Shadow by New Model Army",0,0,0,0.79242,0,0,0.835624,sad
Sly by The Cat Empire,0,0,0.756077,0,0,0,0.878549,happy
The Living Sea by Monkey,0,0,0,0,0,0,0,relaxed
I'd Rather by Luther Vandross,0,0,0,0,0.523981,0,0.888411,relaxed
O Pomar Das Laranjeiras by Madredeus,0,0,0,0,0,0,0,sad
I Want Your Sex by George Michael,0.0,0.0,0.0,0.0,0.0,0.0,0.762676,happy
Pussy Liquor by Rob Zombie,0.837899,0.0,0.0,0.0,0.0,0.0,0.0,angry
12 by Katatonia,0.0,0.0,0.0,0.528958,0.0,0.0,0.0,sad
Swinging On A Star by Bing Crosby,0.6245310000000001,0.0,0.0,0.0,0.0,0.0,0.944534,happy
Get Back by Ludacris,0.709843,0.0,0.0,0.0,0.0,0.0,0.687534,angry
Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart by Manic Street Preachers,0.0,0.0,0.7817430000000001,0.0,0.0,0.0,0.0,angry
If You're Gonna Leave by Emerson Hart,0.651943,0.0,0.0,0.0,0.0,0.0,0.9504540000000001,sad
Architecture of Aggression by Megadeth,0.0,0.0,0.0,0.56911,0.0,0.670747,0.0,angry
Heart of Glass by Blondie,0.0,0.0,0.0,0.0,0.0,0.0,0.8272879999999999,happy
Impossible by The Clientele,0.0,0.0,0.0,0.5745060000000001,0.5705979999999999,0.939384,0.0,relaxed
Love Is All by The Tallest Man on Earth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Silence Is Golden by Garbage,0.0,0.617185,0.0,0.0,0.876898,0.0,0.830009,angry
And It Stoned Me by Van Morrison,0.0,0.0,0.0,0.0,0.0,0.0,0.9030940000000001,relaxed
I'm On My Way by The Proclaimers,0.0,0.0,0.516311,0.0,0.0,0.0,0.527933,happy
My Gun Go Off by 50 Cent,0.0,0.0,0.0,0.0,0.0,0.0,0.777243,angry
Mamacita by Collie Buddz,0.0,0.0,0.8601559999999999,0.0,0.0,0.5098020000000001,0.0,happy
Coming Home by Avenged Sevenfold,0.0,0.0,0.0,0.0,0.706763,0.8400770000000001,0.0,angry
How Does It Feel by Avril Lavigne,0.0,0.5907640000000001,0.0,0.563847,0.0,0.0,0.906451,sad
Never Went to Church by The Streets,0.0,0.7137789999999999,0.0,0.0,0.0,0.0,0.8748049999999999,sad
Chuckie by Geto Boys,0.535248,0.0,0.0,0.503814,0.0,0.0,0.709824,angry
September by David Sylvian,0.0,0.0,0.9211370000000001,0.0,0.0,0.0,0.0,relaxed
The Tide Began To Rise by Demon Hunter,0.0,0.0,0.0,0.555579,0.0,0.0,0.0,sad
Better Left Unsaid by Lily Holbrook,0.0,0.0,0.0,0.554562,0.858201,0.0,0.9143290000000001,sad
Illusion by Creed,0.0,0.0,0.0,0.596446,0.0,0.0,0.982669,angry
Matkustaja by Egotrippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Don't Give Up by The Whitest Boy Alive,0.0,0.0,0.0,0.0,0.625997,0.537798,0.0,relaxed
By the Pain I See in Others by Opeth,0.0,0.0,0.0,0.501566,0.0,0.0,0.0,sad
Better Than This by Salt The Wound,0.0,0.0,0.0,0.633947,0.0,0.9159139999999999,0.0,angry
Aces High by Iron Maiden,0.5290159999999999,0.0,0.0,0.0,0.0,0.648781,0.0,angry
The Prettiest Thing by Norah Jones,0.0,0.0,0.0,0.0,0.0,0.0,0.930321,relaxed
Written by Lamb,0.0,0.0,0.679344,0.0,0.0,0.0,0.887842,relaxed
Rockstar by Nickleback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
Megalodon by Mastodon,0.0,0.0,0.0,0.0,0.0,0.0,0.71572,angry
No One Else by Natalie Walker,0.0,0.0,0.814276,0.0,0.0,0.895883,0.0,relaxed
Country Love Song by Stephen Lynch,0.0,0.0,0.78108,0.0,0.0,0.0,0.698612,happy
Bright Red Star by Stereophonics,0.0,0.0,0.811109,0.0,0.8798229999999999,0.0,0.841619,sad
Can Can by Bad Manners,0.0,0.0,0.577511,0.0,0.0,0.0,0.0,happy
Young by Hollywood Undead,0.0,0.0,0.0,0.720316,0.0,0.890804,0.0,angry
The Magnificent Tree by Hooverphonic,0.0,0.0,0.0,0.0,0.0,0.88533,0.0,relaxed
Quiet Place by Working for a Nuclear Free City,0.0,0.0,0.6782630000000001,0.0,0.0,0.0,0.0,relaxed
Invisible by Alison Moyet,0.0,0.0,0.0,0.5404720000000001,0.655196,0.0,0.911392,sad
We Made You by Eminem,0.0,0.683257,0.55481,0.685004,0.0,0.0,0.0,happy
I Hate The Way by Polly Scattergood,0.513942,0.0,0.579304,0.622238,0.0,0.0,0.82981,sad
Wherever You Are by Ulrich Schnauss,0.0,0.0,0.0,0.770975,0.0,0.0,0.0,relaxed
We Will All Go Together When We Go by Tom Lehrer,0.0,0.0,0.0,0.7619020000000001,0.857009,0.535153,0.0,happy
The World Needs a Hero by Megadeth,0.52122,0.0,0.0,0.0,0.0,0.0,0.8864549999999999,angry
Life Is A Pigsty by Morrissey,0.0,0.0,0.561232,0.0,0.0,0.638212,0.0,sad
Agitated by Muse,0.0,0.0,0.0,0.0,0.0,0.880065,0.0,angry
Fields Of Gold by Fourplay,0.0,0.0,0.665373,0.0,0.0,0.0,0.0,relaxed
Summer Nights by Rascal Flatts,0.0,0.0,0.8336629999999999,0.0,0.0,0.545859,0.0,happy
Adios Ayer by José Padilla,0.0,0.0,0.640213,0.0,0.0,0.0,0.770435,relaxed
Jungle Drums by Emiliana Torrini,0.0,0.0,0.76576,0.0,0.0,0.0,0.698156,happy
The Breeze by Dr. Dog,0.0,0.0,0.0,0.0,0.0,0.65696,0.0,relaxed
Bees & butterflies by Girls In Hawaii,0.0,0.622199,0.0,0.0,0.0,0.950217,0.0,relaxed
Dirge Inferno by Cradle of Filth,0.0,0.0,0.0,0.558041,0.0,0.0,0.0,angry
Big Big Love (Fig. 2) by Foals,0.0,0.0,0.784464,0.0,0.0,0.598512,0.0,relaxed
Welcome Home (Sanitarium) by Metallica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Little Bird by Imogen Heap,0.0,0.0,0.0,0.552725,0.0,0.0,0.881813,relaxed
Do You Know How It Feels by The Flying Burrito Brothers,0.0,0.0,0.6112850000000001,0.0,0.6437579999999999,0.0,0.920133,sad
Easier by Grizzly Bear,0.0,0.0,0.0,0.0,0.9666959999999999,0.0,0.0,relaxed
Sinners Like Me by Eric Church,0.0,0.0,0.0,0.621927,0.0,0.0,0.688854,relaxed
Roll On Down The Highway by Bachman-Turner Overdrive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy
Gimme All Your Lovin' by ZZ Top,0.0,0.0,0.766131,0.0,0.0,0.938707,0.0,happy
War? by System of a Down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
Feuer Frei! by Nachtmahr,0.0,0.0,0.0,0.0,0.551743,0.0,0.0,angry
Bali Ha'i by Stacey Kent,0.0,0.0,0.697809,0.0,0.0,0.0,0.947419,relaxed
You Belong With Me by Taylor Swift,0.0,0.0,0.0,0.0,0.0,0.0,0.733641,happy
Only Anarchists Are Pretty by The World/Inferno Friendship Society,0.0,0.0,0.0,0.507391,0.7152930000000001,0.0,0.548855,happy
Like my very own blood by Tiger Lou,0.0,0.0,0.7247239999999999,0.0,0.0,0.792621,0.0,sad
Spiritual Law by Slayer,0.0,0.0,0.0,0.0,0.0,0.750888,0.0,angry
Stupid Girl by COLD,0.7175,0.0,0.0,0.0,0.0,0.0,0.0,angry
Torn Blue Foam Couch by Grand Archives,0.0,0.552873,0.0,0.0,0.0,0.937689,0.0,relaxed
Turu Tu Tu... by Ania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
"New York, New York by Reel Big Fish",0.0,0.0,0.0,0.521604,0.0,0.739476,0.0,happy
Hot Girls In Love by Loverboy,0.0,0.0,0.829406,0.0,0.0,0.548588,0.0,happy
Bullet Train by Judas Priest,0.0,0.0,0.0,0.0,0.0,0.890603,0.0,angry
The Wandering by The Foreshadowing,0.6753359999999999,0.0,0.0,0.0,0.0,0.0,0.5648850000000001,sad
Hurtful by Erik Hassle,0.0,0.0,0.0,0.701379,0.0,0.0,0.0,sad
Girls & Boys by Good Charlotte,0.0,0.0,0.5949399999999999,0.0,0.0,0.0,0.675327,happy
Before by Riverside,0.0,0.0,0.0,0.743111,0.0,0.0,0.9258370000000001,sad
The One For You by Saybia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Bricks And Mortar by The Jam,0.0,0.0,0.718013,0.0,0.606204,0.0,0.672523,angry
The Divine Wings Of Tragedy by Symphony X,0.0,0.0,0.0,0.90181,0.0,0.0,0.0,sad
Scentless Apprentice by Nirvana,0.0,0.0,0.0,0.0,0.0,0.0,0.948691,angry
End Of The Run by Deborah Harry,0.0,0.506981,0.0,0.552439,0.578094,0.0,0.9160459999999999,sad
Man! I Feel Like A Woman! by Shania Twain,0.0,0.0,0.639173,0.0,0.0,0.0,0.0,happy
Mamma by Björn Rosenström,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy
The Boys Of Summer by The Ataris,0.0,0.0,0.616308,0.0,0.0,0.0,0.0,happy
U-Haul by Angie Stone,0.0,0.0,0.0,0.555323,0.0,0.0,0.762985,relaxed
Dirty Mind by The Pipettes,0.0,0.0,0.671316,0.0,0.0,0.0,0.7673260000000001,happy
If The Lights Go Out by Katie Melua,0.0,0.0,0.0,0.518175,0.580964,0.0,0.70397,relaxed
My Old Man by Steve Goodman,0.0,0.0,0.0,0.504725,0.0,0.0,0.518871,sad
Deutschland (Has Gotta Die!) by Atari Teenage Riot,0.0,0.0,0.0,0.578129,0.0,0.645228,0.0,angry
Sunday Bloody Sunday by U2,0.0,0.0,0.0,0.510971,0.0,0.0,0.0,angry
Lethal by Longing for Dawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Metal Militia by Metallica,0.670718,0.0,0.0,0.0,0.0,0.0,0.0,angry
Crazy Little Thing Called Love by Queen,0.0,0.0,0.847915,0.0,0.0,0.0,0.0,happy
Psycho Killer by Talking Heads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
Lilacs by Matt Costa,0.0,0.0,0.0,0.0,0.0,0.82652,0.0,relaxed
I Like to Move It by Reel 2 Real,0.0,0.0,0.722067,0.0,0.0,0.0,0.575603,happy
Already Gone by Kelly Clarkson,0.0,0.0,0.0,0.69133,0.0,0.0,0.0,sad
You're My Thrill by Diana Krall,0.0,0.0,0.73298,0.0,0.0,0.0,0.8933639999999999,relaxed
We Don't Care by Kanye West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy
Tennessee Train Tracks by Rocky Votolato,0.0,0.0,0.0,0.515617,0.0,0.0,0.841118,relaxed
A Conversation With God by Darren Hayes,0.0,0.0,0.0,0.0,0.0,0.0,0.664175,sad
"So Come Back, I Am Waiting by Okkervil River",0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
The Bad Touch by Bloodhound Gang,0.0,0.0,0.64686,0.0,0.0,0.0,0.8653879999999999,happy
Dig by Mudvayne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
Recipe for Hate...Warhorse by Megadeth,0.0,0.6026,0.0,0.0,0.0,0.0,0.868604,angry
Unchained Melody by Peter Sellers,0.0,0.0,0.0,0.57794,0.0,0.0,0.0,happy
Can't Hardly Wait by The Replacements,0.0,0.519202,0.0,0.0,0.0,0.0,0.71572,sad
Coming Down Again by The Rolling Stones,0.0,0.0,0.0,0.601444,0.0,0.7707649999999999,0.0,sad
Swing hum e meio by Móveis Coloniais de Acaju,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy
The Enemy Inside by Dream Theater,0.0,0.0,0.0,0.864031,0.0,0.693873,0.0,angry
Old Dirt Hill (Bring That Beat Back) by Dave Matthews Band,0.0,0.0,0.0,0.0,0.0,0.686032,0.0,relaxed
All My Heart Can Hold by Maggie Reilly,0.0,0.0,0.0,0.645687,0.0,0.7152,0.0,sad
Better People by Xavier Rudd,0.0,0.0,0.744781,0.0,0.753696,0.0,0.7986949999999999,relaxed
He Stopped Loving Her Today by George Jones,0.0,0.0,0.0,0.5853149999999999,0.579604,0.0,0.5790489999999999,sad
Las Flores by Café Tacuba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy
"They Do, They Don't by Jack Johnson",0.0,0.0,0.0,0.0,0.0,0.0,0.765774,relaxed
Crazy Mary by Pearl Jam,0.0,0.0,0.0,0.536876,0.0,0.0,0.0,sad
Lady Sings The Blues by Billie Holiday,0.0,0.0,0.0,0.867772,0.0,0.0,0.706892,sad
Fall by The Saturdays,0.0,0.0,0.0,0.0,0.872181,0.0,0.0,sad
My Dearest Darling by Etta James,0.0,0.0,0.888502,0.0,0.734164,0.0,0.571918,happy
Don't Stop Now by Guided by Voices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Chinese Takeaway by The Adicts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,happy
Chega De Saudade by João Gilberto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,relaxed
The Boys Of Summer by DJ Sammy,0.0,0.0,0.578795,0.0,0.0,0.0,0.0,happy
For The Ladies by Stephen Lynch,0.0,0.0,0.948845,0.0,0.6246109999999999,0.0,0.0,happy
Things Can Only Get Better by Howard Jones,0.0,0.7068989999999999,0.0,0.0,0.0,0.821633,0.0,happy
Crystal by New Order,0.5383020000000001,0.0,0.0,0.0,0.0,0.0,0.742727,happy
We in Here by DMX,0.5581689999999999,0.0,0.511031,0.538728,0.0,0.0,0.0,angry
Ještě mi scházíš by Jaromír Nohavica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Two Of Those Too (Album Version) by Maria Taylor,0.0,0.0,0.649552,0.0,0.0,0.0,0.949449,relaxed
River Card by Atlas Sound,0.0,0.0,0.0,0.512005,0.724593,0.966751,0.0,relaxed
The Wake/Hooray Hooray by Tiger Lou,0.0,0.0,0.0,0.0,0.53889,0.0,0.0,relaxed
Think Twice by Donald Byrd,0.0,0.0,0.0,0.0,0.526539,0.0,0.933633,relaxed
Touched Something's Hollow by of Montreal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
