Energy,Tempo,Mode,Key,Valence,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,Mood
0.975,178.00799999999998,0,1,0.457,0.978,0.927,0.735,0.7340000000000001,0.99,0.615,0.743,0.87,1.0,0.785,0.72,0.9570000000000001,angry
0.583,118.055,1,0,0.33899999999999997,0.867,0.826,0.8,0.875,0.91,0.895,0.879,1.0,0.879,0.892,0.9279999999999999,0.9359999999999999,sad
0.523,72.79,0,4,0.40399999999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sad
0.41200000000000003,169.956,0,1,0.51,0.153,0.08900000000000001,0.14800000000000002,0.331,0.287,0.544,0.53,0.13699999999999998,0.14,0.184,0.8759999999999999,1.0,angry
0.067,36.959,0,6,0.271,0.6890000000000001,0.6709999999999999,0.6809999999999999,0.591,0.47100000000000003,0.521,0.6509999999999999,0.95,1.0,0.675,0.5670000000000001,0.5529999999999999,relaxed
0.667,137.977,0,2,0.152,0.946,0.7609999999999999,0.674,0.722,0.831,1.0,0.8220000000000001,0.6759999999999999,0.665,0.711,0.726,0.9059999999999999,sad
0.57,132.02700000000002,0,1,0.142,0.517,0.99,1.0,0.9690000000000001,0.917,0.912,0.342,0.337,0.365,0.354,0.13699999999999998,0.157,sad
0.711,88.76899999999999,1,5,0.353,0.136,0.012,0.01,0.033,0.011000000000000001,0.013999999999999999,0.278,0.049,0.022000000000000002,0.027000000000000003,0.036000000000000004,1.0,angry
0.615,130.05,1,9,0.6859999999999999,0.142,1.0,0.11900000000000001,0.172,0.245,0.204,0.787,0.218,0.294,0.109,0.295,0.217,sad
0.639,113.945,1,7,0.466,0.13,0.17,0.22899999999999998,0.43700000000000006,1.0,0.509,0.254,0.175,0.14800000000000002,0.105,0.10400000000000001,0.127,relaxed
0.555,97.3,1,2,0.0784,0.865,0.638,1.0,0.562,0.498,0.531,0.64,0.625,0.386,0.736,0.491,0.794,sad
0.86,128.151,0,10,0.449,0.068,0.095,0.129,0.04,0.042,0.134,0.057999999999999996,0.06,0.081,0.096,1.0,0.107,angry
0.9359999999999999,133.065,1,2,0.7559999999999999,0.82,1.0,0.312,0.387,0.34299999999999997,0.355,0.35,0.33399999999999996,0.565,0.522,0.381,0.336,angry
0.266,136.11,1,0,0.303,0.9670000000000001,1.0,0.27699999999999997,0.326,0.35700000000000004,0.508,0.589,0.598,0.5479999999999999,0.39,0.299,0.318,relaxed
0.226,88.62200000000001,1,6,0.0792,0.022000000000000002,0.019,0.035,1.0,0.038,0.039,0.015,0.094,0.022000000000000002,0.021,0.316,0.023,relaxed
0.91,144.07299999999998,1,0,0.693,1.0,0.455,0.20600000000000002,0.183,0.172,0.14800000000000002,0.36,0.276,0.373,0.33299999999999996,0.804,0.6990000000000001,angry
0.982,131.2,1,2,0.366,0.9790000000000001,0.517,0.49,0.49200000000000005,0.255,0.271,0.809,0.7879999999999999,0.853,0.838,1.0,0.8420000000000001,angry
0.342,99.947,0,9,0.0795,1.0,0.9259999999999999,0.10300000000000001,0.098,0.071,0.08800000000000001,0.258,0.248,0.473,0.46,0.6809999999999999,0.068,relaxed
0.49700000000000005,101.005,1,2,0.6859999999999999,0.644,0.311,0.282,0.359,0.527,1.0,0.956,0.6579999999999999,0.799,0.983,0.894,0.7509999999999999,happy
0.287,122.65700000000001,1,7,0.0778,0.542,1.0,0.379,0.183,0.162,0.342,0.223,0.15,0.14400000000000002,0.077,0.10300000000000001,0.191,sad
0.76,157.173,1,11,0.9129999999999999,0.38799999999999996,0.205,0.115,0.272,0.2,0.129,0.363,0.182,0.096,0.168,0.18,1.0,happy
0.9309999999999999,134.10299999999998,0,0,0.36700000000000005,0.948,1.0,0.659,0.61,0.65,0.644,0.607,0.498,0.5479999999999999,0.45399999999999996,0.474,0.7170000000000001,angry
0.688,113.713,0,11,0.225,0.602,1.0,0.871,0.5760000000000001,0.31,0.293,0.14400000000000002,0.16399999999999998,0.122,0.196,0.24600000000000002,0.363,relaxed
0.72,109.40299999999999,1,8,0.29100000000000004,0.125,0.035,0.096,0.157,0.051,0.358,0.08900000000000001,0.066,0.192,0.07,1.0,0.095,relaxed
0.429,108.03399999999999,1,4,0.34,0.64,0.6970000000000001,0.635,0.809,0.542,0.585,0.754,0.647,0.76,0.8859999999999999,0.8590000000000001,1.0,sad
0.605,96.80799999999999,1,2,0.72,0.733,0.774,0.685,0.359,0.305,0.298,0.49700000000000005,1.0,0.867,0.381,0.28,0.43200000000000005,sad
0.853,114.00299999999999,1,2,0.67,0.586,0.376,0.423,0.19899999999999998,0.581,0.354,0.8909999999999999,0.647,0.821,1.0,0.414,0.33399999999999996,happy
0.5329999999999999,107.053,0,3,0.21100000000000002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sad
0.748,146.34799999999998,0,7,0.275,0.81,1.0,0.89,0.733,0.655,0.613,0.66,0.785,0.833,0.754,0.752,0.813,relaxed
0.325,119.965,1,0,0.6409999999999999,0.665,0.47700000000000004,0.373,0.21100000000000002,0.36200000000000004,0.27,0.22399999999999998,0.16699999999999998,0.251,0.222,0.624,1.0,happy
0.9279999999999999,107.42399999999999,0,4,0.253,0.8590000000000001,1.0,0.546,0.41,0.611,0.98,0.608,0.723,0.542,0.76,0.431,0.586,angry
0.82,120.00299999999999,0,10,0.146,0.19399999999999998,0.196,0.21899999999999997,0.095,0.07200000000000001,0.053,0.045,0.111,0.10099999999999999,0.075,0.6679999999999999,1.0,sad
0.9229999999999999,171.445,1,2,0.326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,angry
0.473,103.98899999999999,0,11,0.424,1.0,0.95,0.889,0.772,0.637,0.618,0.589,0.522,0.449,0.32799999999999996,0.27899999999999997,0.21100000000000002,relaxed
0.895,102.07799999999999,1,2,0.657,0.518,0.255,0.228,0.196,0.22399999999999998,0.9890000000000001,0.58,0.361,0.47200000000000003,0.8370000000000001,1.0,0.82,happy
0.55,94.971,1,0,0.371,0.14800000000000002,0.36200000000000004,1.0,0.19699999999999998,0.066,0.04,0.034,0.08900000000000001,0.036000000000000004,0.18899999999999997,0.023,0.051,relaxed
0.5379999999999999,90.124,1,9,0.319,0.547,0.353,0.429,0.37,0.358,0.8340000000000001,0.625,0.248,0.324,0.413,0.8909999999999999,1.0,relaxed
0.47,96.852,0,11,0.35100000000000003,0.937,1.0,0.6579999999999999,0.602,0.5920000000000001,0.606,0.5670000000000001,0.634,0.58,0.677,0.64,0.44,relaxed
0.993,100.06,1,7,0.349,0.465,0.758,0.7859999999999999,0.7829999999999999,1.0,0.8540000000000001,0.507,0.5379999999999999,0.306,0.321,0.141,0.131,angry
0.924,127.978,1,2,0.387,0.7929999999999999,0.7829999999999999,1.0,0.51,0.32,0.27,0.331,0.376,0.365,0.34600000000000003,0.22699999999999998,0.29,relaxed
0.767,97.944,1,0,0.413,0.645,1.0,0.28300000000000003,0.196,0.172,0.149,0.10099999999999999,0.113,0.13,0.105,0.068,0.341,sad
0.153,148.048,1,3,0.425,0.754,0.742,0.662,0.79,0.747,0.8909999999999999,1.0,0.797,0.7859999999999999,0.7659999999999999,0.718,0.769,relaxed
0.364,109.85700000000001,1,2,0.715,0.774,0.52,0.525,0.598,0.6779999999999999,0.741,0.792,0.888,0.9840000000000001,0.993,1.0,0.888,sad
0.424,87.96700000000001,0,2,0.325,0.215,0.14,0.146,0.069,0.036000000000000004,0.039,0.048,0.09,0.045,0.094,0.903,1.0,relaxed
0.5379999999999999,139.987,1,1,0.521,0.653,0.42200000000000004,0.431,0.40399999999999997,1.0,0.993,0.8420000000000001,0.8390000000000001,0.114,0.125,0.204,0.11599999999999999,relaxed
0.823,138.981,1,7,0.8809999999999999,0.9840000000000001,1.0,0.27399999999999997,0.19899999999999998,0.253,0.21,0.205,0.18899999999999997,0.14400000000000002,0.17,0.198,0.36200000000000004,happy
0.7879999999999999,120.059,1,5,0.63,1.0,0.846,0.134,0.125,0.19699999999999998,0.313,0.33299999999999996,0.32299999999999995,0.263,0.203,0.21899999999999997,0.298,happy
0.9390000000000001,98.646,1,8,0.527,1.0,0.96,0.593,0.581,0.6809999999999999,0.757,0.775,0.6859999999999999,0.586,0.578,0.505,0.218,angry
0.983,130.01,1,0,0.484,0.992,1.0,0.6829999999999999,0.654,0.6559999999999999,0.67,0.66,0.626,0.622,0.604,0.6,0.44,angry
0.11,175.981,0,6,0.132,0.47600000000000003,1.0,0.504,0.335,0.539,0.49700000000000005,0.45,0.622,0.332,0.218,0.14,0.25,relaxed
0.7829999999999999,129.964,1,6,0.44299999999999995,1.0,0.862,0.63,0.35,0.226,0.33899999999999997,0.565,0.536,0.532,0.282,0.34700000000000003,0.96,happy
0.938,151.06,1,1,0.245,0.733,0.871,0.9009999999999999,0.782,0.652,0.769,0.7340000000000001,0.795,0.799,0.8109999999999999,1.0,0.88,sad
0.991,142.076,1,6,0.127,0.762,0.598,0.44799999999999995,0.725,0.731,1.0,0.757,0.7390000000000001,0.583,0.591,0.48700000000000004,0.856,angry
0.868,138.80700000000002,1,0,0.16399999999999998,0.293,0.062,0.168,0.113,0.043,0.364,0.377,0.057999999999999996,0.061,0.055,0.166,1.0,angry
0.815,128.27100000000002,1,11,0.373,0.897,0.833,0.7070000000000001,0.695,0.6829999999999999,1.0,0.705,0.72,0.775,0.882,0.873,0.8140000000000001,relaxed
0.512,139.945,0,4,0.374,0.331,0.193,0.105,0.10400000000000001,0.486,0.488,0.983,1.0,0.825,0.8490000000000001,0.265,0.08800000000000001,sad
0.44299999999999995,107.645,1,2,0.41,0.852,1.0,0.57,0.451,0.369,0.379,0.371,0.39299999999999996,0.483,0.498,0.455,0.498,happy
0.772,153.743,1,9,0.56,0.138,0.14800000000000002,0.175,0.473,0.8079999999999999,1.0,0.622,0.212,0.147,0.122,0.218,0.11699999999999999,happy
0.563,89.978,0,4,0.0526,0.841,0.40399999999999997,0.955,1.0,0.92,0.599,0.49200000000000005,0.24100000000000002,0.305,0.614,0.42700000000000005,0.301,sad
0.757,118.075,0,7,0.45899999999999996,0.478,0.574,0.5760000000000001,0.603,0.677,0.633,0.715,0.7120000000000001,0.695,0.8220000000000001,0.951,1.0,sad
0.72,135.342,1,3,0.608,1.0,0.657,0.292,0.29100000000000004,0.27399999999999997,0.327,0.187,0.135,0.445,0.41700000000000004,0.976,0.043,happy
0.385,147.21200000000002,0,7,0.215,0.575,0.7929999999999999,0.374,0.35600000000000004,0.664,0.7020000000000001,1.0,0.987,0.8320000000000001,0.845,0.534,0.226,sad
0.201,78.707,1,8,0.0622,1.0,0.457,0.741,0.526,0.265,0.287,0.21,0.7170000000000001,0.54,0.24600000000000002,0.22,0.401,sad
0.853,144.645,1,1,0.619,1.0,0.9790000000000001,0.25,0.21100000000000002,0.18,0.18100000000000002,0.17600000000000002,0.163,0.149,0.114,0.08900000000000001,0.345,angry
0.85,164.857,1,7,0.188,1.0,0.847,0.778,0.643,0.525,0.555,0.62,0.652,0.599,0.439,0.34299999999999997,0.22899999999999998,sad
0.83,170.56799999999998,1,1,0.617,0.258,0.138,0.099,0.091,0.434,0.467,0.93,1.0,0.573,0.561,0.19899999999999998,0.124,angry
0.505,100.913,0,4,0.247,0.9990000000000001,1.0,0.9159999999999999,0.812,0.732,0.725,0.802,0.856,0.895,0.833,0.818,0.762,sad
0.639,124.882,1,10,0.674,0.695,0.8640000000000001,1.0,0.8690000000000001,0.795,0.7809999999999999,0.7020000000000001,0.612,0.682,0.909,0.872,0.804,happy
0.674,83.04799999999999,1,5,0.809,1.0,0.23600000000000002,0.159,0.19399999999999998,0.171,0.174,0.15,0.166,0.139,0.16699999999999998,0.142,0.204,happy
0.9540000000000001,191.05900000000003,1,6,0.264,0.8859999999999999,0.873,0.8240000000000001,0.85,1.0,0.838,0.789,0.7,0.602,0.498,0.5660000000000001,0.6940000000000001,happy
0.53,73.94800000000001,0,7,0.6859999999999999,1.0,0.997,0.364,0.307,0.251,0.23600000000000002,0.214,0.183,0.157,0.124,0.125,0.424,relaxed
0.87,155.77200000000002,1,5,0.609,0.13,0.126,0.361,0.45299999999999996,0.147,0.151,0.29100000000000004,1.0,0.79,0.184,0.17800000000000002,0.14,happy
0.493,131.076,1,10,0.556,0.583,0.764,0.773,0.9620000000000001,1.0,0.429,0.358,0.41600000000000004,0.345,0.163,0.16899999999999998,0.32899999999999996,relaxed
0.0429,76.045,1,4,0.271,1.0,0.997,0.376,0.33,0.29600000000000004,0.326,0.336,0.322,0.293,0.22,0.204,0.491,sad
0.983,174.273,0,4,0.122,0.8420000000000001,0.922,0.746,0.644,0.8270000000000001,0.805,0.6829999999999999,0.83,0.85,1.0,0.81,0.9179999999999999,angry
0.9440000000000001,101.17399999999999,1,6,0.735,0.52,0.48,0.37799999999999995,0.33,0.311,0.299,0.391,0.39,0.87,1.0,0.79,0.669,angry
0.272,120.29799999999999,0,10,0.0364,1.0,0.5479999999999999,0.282,0.24100000000000002,0.315,0.42,0.38,0.485,0.369,0.42700000000000005,0.5670000000000001,0.542,sad
0.956,176.217,1,9,0.23800000000000002,0.079,0.017,0.031,0.045,0.02,0.03,0.028999999999999998,0.21899999999999997,0.205,0.040999999999999995,0.7140000000000001,1.0,angry
0.762,76.961,1,0,0.715,1.0,0.519,0.223,0.267,0.235,0.252,0.26,0.215,0.243,0.23399999999999999,0.252,0.325,happy
0.521,123.118,1,2,0.9420000000000001,0.9159999999999999,1.0,0.59,0.526,0.551,0.55,0.44299999999999995,0.311,0.247,0.32799999999999996,0.284,0.45799999999999996,angry
0.555,108.00299999999999,1,3,0.44299999999999995,0.872,0.45299999999999996,0.253,0.16899999999999998,0.10300000000000001,0.18,0.335,0.282,0.7509999999999999,0.759,1.0,0.08800000000000001,relaxed
0.7809999999999999,122.93799999999999,0,5,0.764,1.0,0.966,0.9079999999999999,0.8140000000000001,0.7040000000000001,0.565,0.57,0.552,0.56,0.474,0.395,0.42,happy
0.872,78.139,1,9,0.294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sad
0.10099999999999999,143.204,1,0,0.11900000000000001,1.0,0.8959999999999999,0.5379999999999999,0.516,0.545,0.605,0.62,0.579,0.519,0.556,0.5720000000000001,0.278,relaxed
0.754,83.155,0,11,0.647,0.023,0.081,0.028999999999999998,0.057999999999999996,1.0,0.05,0.135,0.016,0.017,0.011000000000000001,0.079,0.157,happy
0.608,124.54299999999999,1,6,0.622,0.9359999999999999,0.491,0.555,0.5710000000000001,0.507,0.5429999999999999,0.723,0.488,1.0,0.845,0.975,0.231,relaxed
0.907,119.975,1,8,0.391,0.469,0.44299999999999995,0.445,0.47200000000000003,0.391,0.502,0.606,0.598,0.7809999999999999,0.782,0.934,1.0,sad
0.278,79.215,1,0,0.113,0.396,0.159,0.111,0.102,0.1,0.066,0.067,0.10800000000000001,0.061,0.125,0.39299999999999996,1.0,sad
0.735,122.979,0,0,0.97,0.9590000000000001,1.0,0.8029999999999999,0.723,0.433,0.44799999999999995,0.426,0.44,0.716,0.731,0.5710000000000001,0.11800000000000001,happy
0.983,134.975,0,11,0.271,0.8170000000000001,0.805,0.516,0.375,0.47100000000000003,1.0,0.884,0.63,0.5660000000000001,0.691,0.757,0.792,angry
0.8690000000000001,162.609,1,0,0.49200000000000005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,angry
0.84,109.072,1,5,0.64,1.0,0.917,0.745,0.657,0.5579999999999999,0.5660000000000001,0.5710000000000001,0.49700000000000005,0.402,0.299,0.337,0.9159999999999999,happy
0.8140000000000001,141.256,1,2,0.58,0.496,0.335,0.44299999999999995,0.547,0.7290000000000001,1.0,0.912,0.498,0.317,0.349,0.39,0.519,sad
0.42700000000000005,71.514,1,6,0.36,0.49700000000000005,1.0,0.65,0.18100000000000002,0.222,0.433,0.502,0.49,0.423,0.273,0.358,0.337,sad
0.835,184.463,1,5,0.752,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,happy
0.976,143.988,0,4,0.40399999999999997,0.591,1.0,0.28800000000000003,0.028999999999999998,0.071,0.14800000000000002,0.079,0.069,0.07,0.04,0.018000000000000002,0.36,angry
0.546,113.53299999999999,1,7,0.871,0.871,0.222,0.18100000000000002,0.151,0.215,0.371,0.44299999999999995,0.289,0.52,0.496,1.0,0.267,relaxed
0.599,96.54700000000001,0,9,0.541,1.0,0.982,0.359,0.318,0.289,0.28600000000000003,0.27399999999999997,0.253,0.22899999999999998,0.19,0.19,0.405,sad
0.519,118.727,1,6,0.509,0.505,0.155,0.124,0.086,0.07200000000000001,0.134,0.13,0.067,0.19399999999999998,0.499,1.0,0.988,relaxed
0.17300000000000001,72.10300000000001,1,8,0.365,0.612,0.9520000000000001,0.8390000000000001,0.792,0.9990000000000001,1.0,0.961,0.945,0.787,0.7709999999999999,0.516,0.043,sad
0.9279999999999999,156.92600000000002,1,10,0.9620000000000001,1.0,0.981,0.386,0.303,0.31,0.408,0.342,0.33799999999999997,0.37799999999999995,0.369,0.384,0.33899999999999997,happy
0.449,125.956,0,10,0.35700000000000004,0.794,1.0,0.564,0.42200000000000004,0.469,0.509,0.434,0.456,0.49700000000000005,0.621,0.935,0.804,relaxed
0.465,139.109,0,11,0.10400000000000001,0.502,0.599,0.6659999999999999,0.643,0.852,0.797,1.0,0.7979999999999999,0.877,0.961,0.93,0.985,sad
0.151,181.775,0,0,0.263,1.0,0.9540000000000001,0.8320000000000001,0.648,0.524,0.528,0.519,0.511,0.514,0.54,0.583,0.58,sad
0.524,82.958,0,7,0.20600000000000002,0.755,1.0,0.565,0.67,0.7829999999999999,0.787,0.895,0.7240000000000001,0.503,0.491,0.611,0.637,sad
0.345,104.73700000000001,1,8,0.542,1.0,0.907,0.8440000000000001,0.669,0.705,0.607,0.461,0.38799999999999996,0.32299999999999995,0.28300000000000003,0.307,0.402,happy
0.7190000000000001,107.265,1,11,0.375,1.0,0.287,0.252,0.27399999999999997,0.18,0.188,0.503,0.504,0.491,0.499,0.5820000000000001,0.493,sad
0.945,104.684,1,0,0.8029999999999999,0.84,0.706,0.777,0.743,0.461,0.344,0.41200000000000003,0.456,0.919,0.841,1.0,0.895,happy
0.0571,88.656,1,7,0.69,0.21600000000000003,0.111,0.107,0.092,0.076,0.11599999999999999,0.12,0.099,0.138,0.273,1.0,0.919,relaxed
0.88,144.985,1,6,0.58,1.0,0.902,0.17600000000000002,0.17800000000000002,0.146,0.126,0.12300000000000001,0.10800000000000001,0.094,0.076,0.07400000000000001,0.214,happy
0.522,123.465,1,0,0.485,0.578,0.5429999999999999,0.626,0.386,0.39,0.40700000000000003,0.767,0.8140000000000001,1.0,0.9840000000000001,0.5479999999999999,0.429,happy
0.743,108.25399999999999,1,7,0.8320000000000001,0.349,0.335,0.369,0.374,0.418,0.386,0.41600000000000004,0.55,0.617,0.762,0.846,1.0,happy
0.893,135.862,1,6,0.248,0.9259999999999999,1.0,0.462,0.5429999999999999,0.49200000000000005,0.35100000000000003,0.254,0.245,0.235,0.215,0.17800000000000002,0.381,happy
0.85,179.305,0,11,0.517,0.79,0.8220000000000001,0.8540000000000001,0.9640000000000001,0.8079999999999999,0.662,0.6509999999999999,0.713,1.0,0.865,0.7559999999999999,0.654,angry
0.285,120.277,0,9,0.175,0.894,0.265,0.317,0.162,0.22,0.315,0.306,1.0,0.409,0.19899999999999998,0.166,0.135,sad
0.7290000000000001,120.022,1,7,0.758,0.42700000000000005,0.84,0.6,0.281,0.634,0.431,1.0,0.638,0.89,0.8140000000000001,0.47700000000000004,0.235,relaxed
0.634,130.061,1,5,0.0941,0.429,0.409,0.946,0.638,0.244,0.20600000000000002,0.322,1.0,0.762,0.235,0.14400000000000002,0.259,relaxed
0.828,108.07,0,5,0.802,0.8740000000000001,1.0,0.877,0.701,0.607,0.565,0.456,0.37,0.42100000000000004,0.28,0.22,0.664,relaxed
0.0871,112.321,1,0,0.16399999999999998,0.368,0.094,0.109,0.084,0.294,1.0,0.09699999999999999,0.131,0.127,0.152,0.102,0.1,sad
0.647,135.96,1,0,0.42200000000000004,1.0,0.895,0.507,0.46799999999999997,0.5,0.639,0.6890000000000001,0.581,0.513,0.42200000000000004,0.395,0.6940000000000001,relaxed
0.626,96.494,1,5,0.762,1.0,0.875,0.424,0.37,0.231,0.22,0.226,0.19899999999999998,0.34700000000000003,0.34,0.452,0.109,sad
0.301,121.694,1,0,0.8079999999999999,0.127,0.099,0.23800000000000002,0.17,0.113,0.518,0.522,0.10300000000000001,0.09699999999999999,0.092,0.8859999999999999,1.0,happy
0.8059999999999999,121.488,1,5,0.929,1.0,0.9159999999999999,0.693,0.6809999999999999,0.547,0.545,0.41200000000000003,0.413,0.327,0.327,0.285,0.059000000000000004,happy
0.39,80.148,1,8,0.679,0.62,0.691,0.87,1.0,0.898,0.996,0.9309999999999999,0.679,0.447,0.355,0.29600000000000004,0.42,relaxed
0.8109999999999999,139.619,1,7,0.821,1.0,0.983,0.5660000000000001,0.7390000000000001,0.594,0.588,0.5379999999999999,0.6859999999999999,0.596,0.655,0.736,0.8140000000000001,happy
0.625,137.764,0,1,0.524,0.361,1.0,0.711,0.846,0.409,0.831,0.6609999999999999,0.654,0.79,0.629,0.373,0.465,angry
0.907,129.489,1,2,0.6990000000000001,0.966,1.0,0.31,0.312,0.47200000000000003,0.473,0.625,0.629,0.743,0.745,0.807,0.04,angry
0.55,143.546,0,11,0.887,1.0,0.995,0.479,0.47600000000000003,0.49200000000000005,0.508,0.515,0.48200000000000004,0.506,0.503,0.515,0.179,happy
0.946,153.429,1,2,0.305,0.424,0.244,0.145,0.16,0.201,0.32899999999999996,0.685,0.904,0.41,0.688,1.0,0.611,angry
0.231,103.54299999999999,1,9,0.231,0.004,0.006999999999999999,0.002,0.003,0.021,0.03,0.21600000000000003,0.055999999999999994,0.02,1.0,0.105,0.003,sad
0.914,110.07799999999999,1,5,0.14400000000000002,1.0,0.446,0.239,0.27699999999999997,0.192,0.371,0.297,0.23199999999999998,0.223,0.155,0.177,0.555,angry
0.941,144.04,1,0,0.414,0.005,0.006,0.016,0.011000000000000001,1.0,0.018000000000000002,0.019,0.156,0.009000000000000001,0.006,0.004,0.018000000000000002,sad
0.324,180.18200000000002,1,7,0.486,1.0,0.763,0.052000000000000005,0.027000000000000003,0.024,0.036000000000000004,0.03,0.02,0.02,0.023,0.022000000000000002,0.23399999999999999,relaxed
0.579,129.684,0,0,0.8059999999999999,0.607,0.909,1.0,0.711,0.585,0.451,0.765,0.758,0.775,0.5529999999999999,0.8059999999999999,0.631,happy
0.898,109.89,1,7,0.419,0.634,0.231,0.174,0.179,0.995,1.0,0.43200000000000005,0.442,0.142,0.14300000000000002,0.121,0.078,happy
0.0583,69.75399999999999,1,2,0.0348,1.0,0.355,0.217,0.204,0.025,0.038,0.081,0.068,0.218,0.222,0.41600000000000004,0.065,sad
0.647,153.93200000000002,1,11,0.5670000000000001,1.0,0.5589999999999999,0.542,0.542,0.469,0.46799999999999997,0.28300000000000003,0.282,0.306,0.306,0.245,0.19899999999999998,relaxed
0.987,156.049,1,4,0.0395,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,angry
0.995,98.027,0,1,0.111,1.0,0.565,0.332,0.632,0.544,0.645,0.515,0.42200000000000004,0.9209999999999999,0.41200000000000003,0.426,0.45399999999999996,angry
0.233,124.14,0,2,0.49200000000000005,0.521,0.365,0.204,0.18899999999999997,0.159,0.499,0.603,0.21600000000000003,0.282,0.39899999999999997,1.0,0.69,relaxed
0.997,112.523,1,7,0.0419,1.0,0.237,0.276,0.235,0.335,0.254,0.228,0.754,0.434,0.37799999999999995,0.315,0.293,angry
0.9490000000000001,129.984,1,2,0.233,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,angry
0.507,166.46900000000002,1,1,0.22699999999999998,0.693,0.318,0.245,0.268,0.152,0.136,0.293,0.319,0.892,0.899,1.0,0.092,sad
0.951,128.536,1,0,0.6829999999999999,0.6759999999999999,0.086,0.10099999999999999,0.055,0.096,0.24,0.24100000000000002,0.109,0.049,0.055999999999999994,0.040999999999999995,1.0,angry
0.743,101.45100000000001,1,11,0.9620000000000001,0.499,0.46799999999999997,0.105,0.17300000000000001,0.135,0.312,0.28800000000000003,0.11699999999999999,0.094,0.10400000000000001,0.10300000000000001,1.0,happy
0.698,133.107,0,4,0.36,0.885,1.0,0.636,0.546,0.469,0.517,0.564,0.512,0.502,0.37799999999999995,0.4,0.57,sad
0.753,98.064,1,0,0.578,1.0,0.95,0.6779999999999999,0.698,0.529,0.586,0.48700000000000004,0.42100000000000004,0.3,0.252,0.276,0.192,relaxed
