Song,Key,Mode,Danceability,Energy,Valence,Tempo,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,L-Anger,L-Fear,L-Joy,L-Sadness,L-Analytical,L-Confident,L-Tentative,Mood
Better Than This by Salt The Wound,10,0,0.515,0.86,0.449,128.151,0.068,0.095,0.129,0.04,0.042,0.134,0.058,0.06,0.081,0.096,1.0,0.107,0,0,0,0.633947,0,0.915914,0,angry
Aces High - 2015 Remaster by Iron Maiden,2,1,0.3,0.936,0.756,133.065,0.82,1.0,0.312,0.387,0.343,0.355,0.35,0.334,0.565,0.522,0.381,0.336,0.529016,0,0,0,0,0.648781,0,angry
The Prettiest Thing by Norah Jones,0,1,0.625,0.266,0.303,136.11,0.967,1.0,0.277,0.326,0.357,0.508,0.589,0.598,0.548,0.39,0.299,0.318,0,0,0,0,0,0,0.930321,relaxed
Written in the Lamb's Book of Life by Marc Harpist,6,1,0.278,0.226,0.0792,88.622,0.022,0.019,0.035,1.0,0.038,0.039,0.015,0.094,0.022,0.021,0.316,0.023,0,0,0.679344,0,0,0,0.887842,relaxed
Rockstar by Nickelback,0,1,0.616,0.91,0.693,144.073,1.0,0.455,0.206,0.183,0.172,0.148,0.36,0.276,0.373,0.333,0.804,0.699,0,0,0,0,0,0,0,angry
Megalodon by Mastodon,2,1,0.268,0.982,0.366,131.2,0.979,0.517,0.49,0.492,0.255,0.271,0.809,0.788,0.853,0.838,1.0,0.842,0,0,0,0,0,0,0.71572,angry
No One Else by Natalie Walker,9,0,0.604,0.342,0.0795,99.947,1.0,0.926,0.103,0.098,0.071,0.088,0.258,0.248,0.473,0.46,0.681,0.068,0,0,0.814276,0,0,0.895883,0,relaxed
Country Love Song by Stephen Lynch,2,1,0.538,0.497,0.686,101.005,0.644,0.311,0.282,0.359,0.527,1.0,0.956,0.658,0.799,0.983,0.894,0.751,0,0,0.78108,0,0,0,0.698612,happy
Bright Red Star by Stereophonics,7,1,0.504,0.287,0.0778,122.657,0.542,1.0,0.379,0.183,0.162,0.342,0.223,0.15,0.144,0.077,0.103,0.191,0,0,0.811109,0,0.879823,0,0.841619,sad
Can Can by Bad Manners,11,1,0.734,0.76,0.913,157.173,0.388,0.205,0.115,0.272,0.2,0.129,0.363,0.182,0.096,0.168,0.18,1.0,0,0,0.577511,0,0,0,0,happy
Young by Hollywood Undead,0,0,0.522,0.931,0.367,134.103,0.948,1.0,0.659,0.61,0.65,0.644,0.607,0.498,0.548,0.454,0.474,0.717,0,0,0,0.720316,0,0.890804,0,angry
The Magnificent Tree by Hooverphonic,11,0,0.547,0.688,0.225,113.713,0.602,1.0,0.871,0.576,0.31,0.293,0.144,0.164,0.122,0.196,0.246,0.363,0,0,0,0,0,0.88533,0,relaxed
Quiet Place by Working for a Nuclear Free City,8,1,0.457,0.72,0.291,109.403,0.125,0.035,0.096,0.157,0.051,0.358,0.089,0.066,0.192,0.07,1.0,0.095,0,0,0.678263,0,0,0,0,relaxed
Invisible - Single Version by Alison Moyet,2,1,0.652,0.605,0.72,96.808,0.733,0.774,0.685,0.359,0.305,0.298,0.497,1.0,0.867,0.381,0.28,0.432,0,0,0,0.540472,0.655196,0,0.911392,sad
We Made You by Eminem,2,1,0.924,0.853,0.67,114.003,0.586,0.376,0.423,0.199,0.581,0.354,0.891,0.647,0.821,1.0,0.414,0.334,0,0.683257,0.55481,0.685004,0,0,0,happy
I Hate The Way by Polly Scattergood,3,0,0.396,0.533,0.211,107.053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.513942,0,0.579304,0.622238,0,0,0.82981,sad
Wherever You Are - 2019 remaster by Ulrich Schnauss,7,0,0.545,0.748,0.275,146.348,0.81,1.0,0.89,0.733,0.655,0.613,0.66,0.785,0.833,0.754,0.752,0.813,0,0,0,0.770975,0,0,0,relaxed
The World Needs a Hero by Megadeth,4,0,0.507,0.928,0.253,107.424,0.859,1.0,0.546,0.41,0.611,0.98,0.608,0.723,0.542,0.76,0.431,0.586,0,0,0,0,0,0,0,sad
Life Is a Pigsty by Morrissey,10,0,0.541,0.82,0.146,120.003,0.194,0.196,0.219,0.095,0.072,0.053,0.045,0.111,0.101,0.075,0.668,1.0,0.52122,0,0,0,0,0,0.886455,angry
Agitated by Muse,2,1,0.14,0.923,0.326,171.445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0.561232,0,0,0.638212,0,sad
Fields of Gold by Fourplay,11,0,0.766,0.473,0.424,103.989,1.0,0.95,0.889,0.772,0.637,0.618,0.589,0.522,0.449,0.328,0.279,0.211,0,0,0,0,0,0.880065,0,angry
Summer Nights by Rascal Flatts,2,1,0.541,0.895,0.657,102.078,0.518,0.255,0.228,0.196,0.224,0.989,0.58,0.361,0.472,0.837,1.0,0.82,0,0,0.665373,0,0,0,0,relaxed
The Breeze by Dr. Dog,9,1,0.611,0.538,0.319,90.124,0.547,0.353,0.429,0.37,0.358,0.834,0.625,0.248,0.324,0.413,0.891,1.0,0,0,0.640213,0,0,0,0.770435,relaxed
Bees & Butterflies by Girls In Hawaii,10,0,0.322,0.947,0.506,134.272,0.722,0.712,0.868,0.692,0.645,0.815,0.705,0.805,0.789,0.823,1.0,0.82,0,0,0,0,0,0,0,happy
Dirge Inferno by Cradle Of Filth,7,1,0.505,0.993,0.349,100.06,0.465,0.758,0.786,0.783,1.0,0.854,0.507,0.538,0.306,0.321,0.141,0.131,0,0,0,0,0,0.65696,0,relaxed
Big Big Love (Fig. 2) by Foals,2,1,0.352,0.924,0.387,127.978,0.793,0.783,1.0,0.51,0.32,0.27,0.331,0.376,0.365,0.346,0.227,0.29,0,0.622199,0,0,0,0.950217,0,relaxed
Welcome Home (Sanitarium) (Remastered) by Metallica,0,1,0.309,0.767,0.413,97.944,0.645,1.0,0.283,0.196,0.172,0.149,0.101,0.113,0.13,0.105,0.068,0.341,0,0,0,0.558041,0,0,0,angry
Little Bird by Imogen Heap,3,1,0.59,0.153,0.425,148.048,0.754,0.742,0.662,0.79,0.747,0.891,1.0,0.797,0.786,0.766,0.718,0.769,0,0,0.784464,0,0,0.598512,0,relaxed
Do You Know How It Feels by The Flying Burrito Brothers,2,1,0.411,0.364,0.715,109.857,0.774,0.52,0.525,0.598,0.678,0.741,0.792,0.888,0.984,0.993,1.0,0.888,0,0,0,0,0,0,0,sad
Easier by Grizzly Bear,2,0,0.519,0.424,0.325,87.967,0.215,0.14,0.146,0.069,0.036,0.039,0.048,0.09,0.045,0.094,0.903,1.0,0,0,0,0.552725,0,0,0.881813,relaxed
Sinners Like Me by Eric Church,1,1,0.458,0.538,0.521,139.987,0.653,0.422,0.431,0.404,1.0,0.993,0.842,0.839,0.114,0.125,0.204,0.116,0,0,0.611285,0,0.643758,0,0.920133,sad
Roll On Down The Highway by Bachman-Turner Overdrive,7,1,0.475,0.823,0.881,138.981,0.984,1.0,0.274,0.199,0.253,0.21,0.205,0.189,0.144,0.17,0.198,0.362,0,0,0,0,0.966696,0,0,relaxed
Gimme All Your Lovin' by ZZ Top,5,1,0.63,0.788,0.63,120.059,1.0,0.846,0.134,0.125,0.197,0.313,0.333,0.323,0.263,0.203,0.219,0.298,0,0,0,0.621927,0,0,0.688854,relaxed
War? by System Of A Down,8,1,0.365,0.939,0.527,98.646,1.0,0.96,0.593,0.581,0.681,0.757,0.775,0.686,0.586,0.578,0.505,0.218,0,0,0,0,0,0,0,happy
Feuer Frei by Nachtmahr,0,1,0.61,0.983,0.484,130.01,0.992,1.0,0.683,0.654,0.656,0.67,0.66,0.626,0.622,0.604,0.6,0.44,0,0,0.766131,0,0,0.938707,0,happy
Bali Ha'i by Stacey Kent,6,0,0.335,0.0988,0.179,176.232,1.0,0.22,0.446,0.584,0.355,0.207,0.436,0.649,0.427,0.098,0.118,0.173,0,0,0,0,0,0,0,angry
Like My Very Own Blood by Tiger Lou,1,1,0.53,0.938,0.245,151.06,0.733,0.871,0.901,0.782,0.652,0.769,0.734,0.795,0.799,0.811,1.0,0.88,0,0,0.697809,0,0,0,0.947419,relaxed
Spiritual Law by Slayer,6,1,0.224,0.991,0.127,142.076,0.762,0.598,0.448,0.725,0.731,1.0,0.757,0.739,0.583,0.591,0.487,0.856,0,0,0,0,0,0,0.733641,happy
Stupid Girl by Cold,0,1,0.43,0.868,0.164,138.807,0.293,0.062,0.168,0.113,0.043,0.364,0.377,0.058,0.061,0.055,0.166,1.0,0,0,0,0,0,0,0,happy
Torn Blue Foam Couch by Grand Archives,11,1,0.317,0.815,0.373,128.271,0.897,0.833,0.707,0.695,0.683,1.0,0.705,0.72,0.775,0.882,0.873,0.814,0,0,0.724724,0,0,0.792621,0,sad
Turu Tu Tu... by Ania Dabrowska,4,0,0.575,0.512,0.374,139.945,0.331,0.193,0.105,0.104,0.486,0.488,0.983,1.0,0.825,0.849,0.265,0.088,0,0,0,0,0,0.750888,0,angry
"New York, New York by Reel Big Fish",2,1,0.493,0.443,0.41,107.645,0.852,1.0,0.57,0.451,0.369,0.379,0.371,0.393,0.483,0.498,0.455,0.498,0.7175,0,0,0,0,0,0,angry
The Wandering by The Foreshadowing,4,0,0.435,0.563,0.0526,89.978,0.841,0.404,0.955,1.0,0.92,0.599,0.492,0.241,0.305,0.614,0.427,0.301,0,0,0,0,0,0,0,sad
Hurtful by Erik Hassle,7,0,0.577,0.757,0.459,118.075,0.478,0.574,0.576,0.603,0.677,0.633,0.715,0.712,0.695,0.822,0.951,1.0,0,0,0,0.521604,0,0.739476,0,happy
Girls & Boys by Good Charlotte,3,1,0.663,0.72,0.608,135.342,1.0,0.657,0.292,0.291,0.274,0.327,0.187,0.135,0.445,0.417,0.976,0.043,0,0,0.829406,0,0,0.548588,0,happy
Before by Riverside,7,0,0.456,0.385,0.215,147.212,0.575,0.793,0.374,0.356,0.664,0.702,1.0,0.987,0.832,0.845,0.534,0.226,0,0,0,0,0,0,0,angry
The One for You by Saybia,8,1,0.223,0.201,0.0622,78.707,1.0,0.457,0.741,0.526,0.265,0.287,0.21,0.717,0.54,0.246,0.22,0.401,0.675336,0,0,0,0,0,0.564885,sad
Bricks And Mortar by The Jam,1,1,0.369,0.853,0.619,144.645,1.0,0.979,0.25,0.211,0.18,0.181,0.176,0.163,0.149,0.114,0.089,0.345,0,0,0,0.701379,0,0,0,sad
The Divine Wings of Tragedy by Symphony X,7,1,0.244,0.85,0.188,164.857,1.0,0.847,0.778,0.643,0.525,0.555,0.62,0.652,0.599,0.439,0.343,0.229,0,0,0.59494,0,0,0,0.675327,happy
Scentless Apprentice by Nirvana,1,1,0.31,0.83,0.617,170.568,0.258,0.138,0.099,0.091,0.434,0.467,0.93,1.0,0.573,0.561,0.199,0.124,0,0,0,0.743111,0,0,0.925837,sad
End of the Run by Debbie Harry,4,0,0.509,0.505,0.247,100.913,0.999,1.0,0.916,0.812,0.732,0.725,0.802,0.856,0.895,0.833,0.818,0.762,0,0,0,0,0,0,0,sad
Man! I Feel Like A Woman! by Shania Twain,10,1,0.657,0.639,0.674,124.882,0.695,0.864,1.0,0.869,0.795,0.781,0.702,0.612,0.682,0.909,0.872,0.804,0,0,0.718013,0,0.606204,0,0.672523,angry
Mamma by Bj�rn Rosenstr�m,5,1,0.752,0.674,0.809,83.048,1.0,0.236,0.159,0.194,0.171,0.174,0.15,0.166,0.139,0.167,0.142,0.204,0,0,0,0.90181,0,0,0,sad
The Boys of Summer by The Ataris,6,1,0.251,0.954,0.264,191.059,0.886,0.873,0.824,0.85,1.0,0.838,0.789,0.7,0.602,0.498,0.566,0.694,0,0,0,0,0,0,0.948691,angry
U-Haul by Angie Stone,7,0,0.704,0.53,0.686,73.948,1.0,0.997,0.364,0.307,0.251,0.236,0.214,0.183,0.157,0.124,0.125,0.424,0,0.506981,0,0.552439,0.578094,0,0.916046,sad
Dirty Mind by The Pipettes,5,1,0.338,0.87,0.609,155.772,0.13,0.126,0.361,0.453,0.147,0.151,0.291,1.0,0.79,0.184,0.178,0.14,0,0,0.639173,0,0,0,0,happy
If The Lights Go Out by Katie Melua,10,1,0.669,0.493,0.556,131.076,0.583,0.764,0.773,0.962,1.0,0.429,0.358,0.416,0.345,0.163,0.169,0.329,0,0,0,0,0,0,0,happy
My Old Man by Steve Goodman,4,1,0.358,0.0429,0.271,76.045,1.0,0.997,0.376,0.33,0.296,0.326,0.336,0.322,0.293,0.22,0.204,0.491,0,0,0.616308,0,0,0,0,happy
Deutschland (Has Gotta Die) - Remix by Atari Teenage Riot,4,0,0.183,0.983,0.122,174.273,0.842,0.922,0.746,0.644,0.827,0.805,0.683,0.83,0.85,1.0,0.81,0.918,0,0,0,0.555323,0,0,0.762985,relaxed
Sunday Bloody Sunday - Remastered 2008 by U2,6,1,0.543,0.944,0.735,101.174,0.52,0.48,0.378,0.33,0.311,0.299,0.391,0.39,0.87,1.0,0.79,0.669,0,0,0.671316,0,0,0,0.767326,happy
Lethal by Longing For Dawn,10,0,0.171,0.272,0.0364,120.298,1.0,0.548,0.282,0.241,0.315,0.42,0.38,0.485,0.369,0.427,0.567,0.542,0,0,0,0.518175,0.580964,0,0.70397,relaxed
Metal Militia (Remastered) by Metallica,9,1,0.166,0.956,0.238,176.217,0.079,0.017,0.031,0.045,0.02,0.03,0.029,0.219,0.205,0.041,0.714,1.0,0,0,0,0.504725,0,0,0.518871,sad
Crazy Little Thing Called Love - Remastered 2011 by Queen,0,1,0.599,0.762,0.715,76.961,1.0,0.519,0.223,0.267,0.235,0.252,0.26,0.215,0.243,0.234,0.252,0.325,0,0,0,0.578129,0,0.645228,0,angry
Psycho Killer - 2005 Remaster by Talking Heads,2,1,0.721,0.521,0.942,123.118,0.916,1.0,0.59,0.526,0.551,0.55,0.443,0.311,0.247,0.328,0.284,0.458,0,0,0,0,0,0,0,angry

Lilacs by Matt Costa,3,1,0.66,0.555,0.443,108.003,0.872,0.453,0.253,0.169,0.103,0.18,0.335,0.282,0.751,0.759,1.0,0.088,0,0,0,0,0,0.82652,0,relaxed

"I Like To Move It (feat. The Mad Stuntman) - Erick ""More"" Album Mix by Reel 2 Real",5,0,0.863,0.781,0.764,122.938,1.0,0.966,0.908,0.814,0.704,0.565,0.57,0.552,0.56,0.474,0.395,0.42,0,0,0.722067,0,0,0,0.575603,happy

Already Gone by Kelly Clarkson,9,1,0.209,0.872,0.294,78.139,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,0.69133,0,0,0,sad

You're My Thrill by Diana Krall,0,1,0.272,0.101,0.119,143.204,1.0,0.896,0.538,0.516,0.545,0.605,0.62,0.579,0.519,0.556,0.572,0.278,0,0,0.73298,0,0,0,0.893364,relaxed

We Don't Care by Kanye West,11,0,0.595,0.754,0.647,83.155,0.023,0.081,0.029,0.058,1.0,0.05,0.135,0.016,0.017,0.011,0.079,0.157,0,0,0,0,0,0,0,happy

Tennessee Train Tracks by Rocky Votolato,6,1,0.583,0.608,0.622,124.543,0.936,0.491,0.555,0.571,0.507,0.543,0.723,0.488,1.0,0.845,0.975,0.231,0,0,0,0.515617,0,0,0.841118,relaxed

A Conversation With God by Darren Hayes,8,1,0.591,0.907,0.391,119.975,0.469,0.443,0.445,0.472,0.391,0.502,0.606,0.598,0.781,0.782,0.934,1.0,0,0,0,0,0,0,0.664175,sad

"So Come Back, I Am Waiting by Okkervil River",0,1,0.19,0.278,0.113,79.215,0.396,0.159,0.111,0.102,0.1,0.066,0.067,0.108,0.061,0.125,0.393,1.0,0,0,0,0,0,0,0,sad

The Bad Touch by Bloodhound Gang,0,0,0.831,0.735,0.97,122.979,0.959,1.0,0.803,0.723,0.433,0.448,0.426,0.44,0.716,0.731,0.571,0.118,0,0,0.64686,0,0,0,0.865388,happy

Dig by Mudvayne,11,0,0.623,0.983,0.271,134.975,0.817,0.805,0.516,0.375,0.471,1.0,0.884,0.63,0.566,0.691,0.757,0.792,0,0,0,0,0,0,0,angry

Recipe for Hate... Warhorse by Megadeth,0,1,0.265,0.869,0.492,162.609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.6026,0,0,0,0,0.868604,angry

Unchained Melody by Peter Sellers,5,1,0.558,0.84,0.64,109.072,1.0,0.917,0.745,0.657,0.558,0.566,0.571,0.497,0.402,0.299,0.337,0.916,0,0,0,0.57794,0,0,0,happy

Can't Hardly Wait - 2008 Remaster by The Replacements,2,1,0.538,0.814,0.58,141.256,0.496,0.335,0.443,0.547,0.729,1.0,0.912,0.498,0.317,0.349,0.39,0.519,0,0.519202,0,0,0,0,0.71572,sad

Coming Down Again - Remastered by The Rolling Stones,6,1,0.458,0.427,0.36,71.514,0.497,1.0,0.65,0.181,0.222,0.433,0.502,0.49,0.423,0.273,0.358,0.337,0,0,0,0.601444,0,0.770765,0,sad

Swing Hum e Meio - Ao vivo by M�veis Coloniais de Acaju,5,0,0.403,0.791,0.621,141.38,0.879,0.658,0.542,0.835,0.595,0.645,0.663,1.0,0.721,0.482,0.757,0.797,0,0,0,0,0,0,0,happy

The Enemy Inside by Dream Theater,4,0,0.488,0.976,0.404,143.988,0.591,1.0,0.288,0.029,0.071,0.148,0.079,0.069,0.07,0.04,0.018,0.36,0,0,0,0.864031,0,0.693873,0,angry

Old Dirt Hill (Bring That Beat Back) by Dave Matthews Band,7,1,0.812,0.546,0.871,113.533,0.871,0.222,0.181,0.151,0.215,0.371,0.443,0.289,0.52,0.496,1.0,0.267,0,0,0,0,0,0.686032,0,relaxed

All My Heart Can Hold by Maggie Reilly,9,0,0.572,0.599,0.541,96.547,1.0,0.982,0.359,0.318,0.289,0.286,0.274,0.253,0.229,0.19,0.19,0.405,0,0,0,0.645687,0,0.7152,0,sad

Better People by Xavier Rudd,6,1,0.552,0.519,0.509,118.727,0.505,0.155,0.124,0.086,0.072,0.134,0.13,0.067,0.194,0.499,1.0,0.988,0,0,0.744781,0,0.753696,0,0.798695,relaxed

He Stopped Loving Her Today by George Jones,8,1,0.43,0.173,0.365,72.103,0.612,0.952,0.839,0.792,0.999,1.0,0.961,0.945,0.787,0.771,0.516,0.043,0,0,0,0.585315,0.579604,0,0.579049,sad

Las flores by Caf� Tacvba,10,1,0.615,0.928,0.962,156.926,1.0,0.981,0.386,0.303,0.31,0.408,0.342,0.338,0.378,0.369,0.384,0.339,0,0,0,0,0,0,0,happy

"They Do, They Don't by Jack Johnson",10,0,0.726,0.449,0.357,125.956,0.794,1.0,0.564,0.422,0.469,0.509,0.434,0.456,0.497,0.621,0.935,0.804,0,0,0,0,0,0,0.765774,relaxed

Crazy Mary (Remastered) by Pearl Jam,11,0,0.385,0.465,0.104,139.109,0.502,0.599,0.666,0.643,0.852,0.797,1.0,0.798,0.877,0.961,0.93,0.985,0,0,0,0.536876,0,0,0,sad

Lady Sings The Blues by Billie Holiday,0,0,0.316,0.151,0.263,181.775,1.0,0.954,0.832,0.648,0.524,0.528,0.519,0.511,0.514,0.54,0.583,0.58,0,0,0,0.867772,0,0,0.706892,sad

Fall by The Saturdays,7,0,0.627,0.524,0.206,82.958,0.755,1.0,0.565,0.67,0.783,0.787,0.895,0.724,0.503,0.491,0.611,0.637,0,0,0,0,0.872181,0,0,sad

My Dearest Darling by Etta James,8,1,0.554,0.345,0.542,104.737,1.0,0.907,0.844,0.669,0.705,0.607,0.461,0.388,0.323,0.283,0.307,0.402,0,0,0.888502,0,0.734164,0,0.571918,happy

Don�t Stop Now by Guided By Voices,11,1,0.268,0.719,0.375,107.265,1.0,0.287,0.252,0.274,0.18,0.188,0.503,0.504,0.491,0.499,0.582,0.493,0,0,0,0,0,0,0,sad

Chinese Takeaway by The Adicts,0,1,0.541,0.945,0.803,104.684,0.84,0.706,0.777,0.743,0.461,0.344,0.412,0.456,0.919,0.841,1.0,0.895,0,0,0,0,0,0,0,happy

Chega de Saudade by Jo�o Gilberto,7,1,0.512,0.0571,0.69,88.656,0.216,0.111,0.107,0.092,0.076,0.116,0.12,0.099,0.138,0.273,1.0,0.919,0,0,0,0,0,0,0,relaxed

The Boys Of Summer - Radio Version by DJ Sammy,6,1,0.622,0.88,0.58,144.985,1.0,0.902,0.176,0.178,0.146,0.126,0.123,0.108,0.094,0.076,0.074,0.214,0,0,0.578795,0,0,0,0,happy

For the Ladies by Stephen Lynch,0,1,0.507,0.522,0.485,123.465,0.578,0.543,0.626,0.386,0.39,0.407,0.767,0.814,1.0,0.984,0.548,0.429,0,0,0.948845,0,0.624611,0,0,happy

Things Can Only Get Better by Howard Jones,7,1,0.752,0.743,0.832,108.254,0.349,0.335,0.369,0.374,0.418,0.386,0.416,0.55,0.617,0.762,0.846,1.0,0,0.706899,0,0,0,0.821633,0,happy

Crystal by New Order,6,1,0.517,0.893,0.248,135.862,0.926,1.0,0.462,0.543,0.492,0.351,0.254,0.245,0.235,0.215,0.178,0.381,0.538302,0,0,0,0,0,0.742727,happy

We in Here (feat. Swizz Beatz) by DMX,11,0,0.516,0.85,0.517,179.305,0.79,0.822,0.854,0.964,0.808,0.662,0.651,0.713,1.0,0.865,0.756,0.654,0.558169,0,0.511031,0.538728,0,0,0,angry

