artist,title,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,valence,mode,mood_1
Aoife O'Donovan,Stanley Park,0.556,0.104,145.081,0.0337,0.701,0.00867,3,0.466,1,0.351,1,Empowering
A Day To Remember,If It Means a Lot to You,0.536,0.456,126.996,0.0279,0.112,0,4,0.584,10,0.455,1,Empowering
Matt Nathanson,Come On Get Higher,0.623,0.0848,92.018,0.0297,0.241,0,4,0.672,9,0.621,1,Yearning
Winhill/Losehill,Aifos,0.231,0.108,99.033,0.0299,0.99,0.631,4,0.451,6,0.179,1,Sentimental
Sound Dreamer,Blue Noise - 1 Hour,0.000513,0.792,0,,0.112,0.879,,,6,,0,Aggressive
Antoine Brumel,Missa Et ecce terrae motus (The Earthquake Mass): Kyrie,0.249,0.0499,130.321,0.0409,0.982,0.0516,3,0.174,1,0.0925,1,Somber
Gustav Holst,"The Planets, Op. 32: II. Venus, the Bringer of Peace",0.0119,0.132,138.631,0.0401,0.958,0.86,4,0.147,8,0.0326,1,Peaceful
Half Moon Run,Turn Your Love,0.721,0.0814,172.022,0.0589,0.215,0.118,4,0.639,5,0.621,0,Yearning
Apink,Oh Yes,0.815,0.087,115.965,0.0476,0.143,0,4,0.819,7,0.669,1,
The Chain Gang Of 1974,I Still Wonder,0.735,0.105,100.038,0.03,0.0241,0.000373,4,0.555,6,0.211,1,Empowering
John Debney,The Man Village,0.0177,0.0722,93.592,0.0382,0.957,0.969,4,0.171,6,0.036,1,Peaceful
Jacques Loussier Trio,Bach: Goldberg Variations: Aria,0.231,0.0713,131.075,0.0441,0.927,0.646,4,0.428,7,0.31,1,Tender
Kilfenora Fiddle Ceili Band,Kilfenora Reels: Connemara Stocking - The Westmeath Hunt - A Fair Wind,0.861,0.196,115.45,0.076,0.702,0.0115,4,0.493,2,0.942,1,Upbeat
Chance The Rapper,Juke Jam (feat. Justin Bieber & Towkio),0.397,0.0853,95.063,0.324,0.716,0,1,0.505,5,0.544,1,Sophisticated
Neon Trees,Sleeping With A Friend,0.89,0.324,107.037,0.0364,0.00204,6.66E-06,4,0.58,2,0.519,1,Defiant
Fossil Collective,In a Northern Sky,0.164,0.114,79.865,0.0317,0.932,0.000883,3,0.4,7,0.0385,1,
Allan Holdsworth,Metal Fatigue,0.595,0.03,109.951,0.0603,0.0209,0.000661,3,0.529,2,0.51,1,Upbeat
A Great Big World,Say Something,0.147,0.0913,141.284,0.0355,0.857,2.89E-06,3,0.407,2,0.0796,1,Melancholy
The Cadillac Three,Drunk Like You,0.789,0.358,140.081,0.0405,0.224,0.000199,4,0.543,0,0.599,1,Gritty
Perfect Stranger,You Have The Right To Remain Silent,0.436,0.107,163.928,0.0275,0.411,0,4,0.577,2,0.435,1,Empowering
Hannah Peel,Blue Monday,0.171,0.0606,119.561,0.043,0.955,3.38E-05,4,0.597,0,0.446,1,
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez),0.563,0.179,100.017,0.134,0.621,0,4,0.728,1,0.35,0,Sensual
Gorgon City,Smile,0.73,0.0557,112.953,0.0597,0.049,0.00036,4,0.699,7,0.572,1,Brooding
Modern Space,High By The Beach,0.764,0.635,138.023,0.0473,0.0496,0,4,0.661,1,0.814,1,Urgent
Shad,Rose Garden,0.915,0.333,183.335,0.335,0.0509,1.33E-06,4,0.585,11,0.844,1,Cool
Brett Kissel,Cool With That,0.829,0.371,152.088,0.0458,0.0555,0,4,0.433,9,0.519,1,Yearning
Pam Donkin,Gotta Get The Beat,0.387,0.104,90.972,0.502,0.535,7.90E-05,4,0.714,4,0.616,0,Other
Alban Berg,"Berg: Violin Concerto, ""To the memory of an angel"": I. Allegro - Adagio",0.0496,0.112,63.717,0.0435,0.922,0.25,3,0.0686,5,0.0347,1,Serious
Eptic,On The Block - Original Mix,0.94,0.0648,127.936,0.183,0.000161,0.635,4,0.824,0,0.199,1,Cool
Johannes Brahms,"String Quartet No. 2 in A Minor, Op. 51: I. Allegro non troppo",0.128,0.0841,77.529,0.0503,0.936,0.787,4,0.188,0,0.12,1,Romantic
Auras,The Ripple Effect,0.959,0.11,140.105,0.106,5.93E-06,0.759,4,0.484,1,0.608,1,Aggressive
The Meters,Cissy Strut,0.811,0.348,176.142,0.0997,0.115,0.831,4,0.53,0,0.7,1,Cool
Ashley Wallbridge,Es Vedra,0.97,0.0578,127.989,0.0439,0.00469,0.0229,4,0.498,1,0.337,1,Melancholy
Bruce Springsteen,Thunder Road,0.673,0.387,140.302,0.0338,0.683,3.75E-05,4,0.37,5,0.668,1,Upbeat
Cody Johnson,With You I Am,0.665,0.14,75.023,0.027,0.403,0,4,0.559,7,0.395,1,Yearning
Jerry Martin,Under Construction,0.411,0.12,99.485,0.0389,0.793,0.893,4,0.425,0,0.474,1,Rowdy
KRNE,Propane,0.903,0.0434,148.035,0.0779,0.154,0.802,4,0.707,1,0.79,1,
Sound Dreamer,Brown Noise - 1 Hour,0.00011,0.243,0,,0.111,0.388,,,2,,1,Somber
Brett Dennen,Only Want You,0.354,0.11,139.843,0.0356,0.807,4.21E-06,4,0.735,9,0.602,1,Melancholy
Tortoise,Why We Fight,0.73,0.105,115.771,0.043,0.445,0.829,4,0.641,9,0.696,1,Yearning
St. Vincent,Cruel,0.704,0.0905,115.037,0.0314,0.0104,0.446,4,0.57,1,0.432,1,Yearning
The New Respects,Trouble,0.717,0.383,147.862,0.0747,0.0172,0,4,0.504,2,0.358,1,Defiant
Aloe Blacc,Let the Games Begin,0.681,0.317,172.459,0.0419,0.0368,7.79E-05,3,0.224,7,0.311,1,Yearning
Tomaso Albinoni,"Concerto a cinque No. 2, Op. 9: I. Allegro e no presto",0.265,0.0543,169.477,0.0462,0.822,0.772,4,0.334,1,0.517,0,Tender
George Frideric Handel,"Keyboard Concerto No. 13 in F Major, HWV 295, ""The Cuckoo and The Nightingale"": I. Larghetto",0.0324,0.0739,93.365,0.0362,0.987,0.833,3,0.234,5,0.137,1,Peaceful
Black Sabbath,The Devil Cried,0.797,0.19,121.99,0.0427,2.50E-05,6.43E-05,4,0.395,4,0.423,1,
Mozzy,Activities 2,0.722,0.479,90.313,0.239,0.0454,0,4,0.531,10,0.696,0,Energizing
Darkthrone,Alle Gegen Alle,0.966,0.162,151.842,0.0766,0.0107,0.765,4,0.113,7,0.039,1,Urgent
Katrina & The Waves,Walking On Sunshine,0.869,0.0678,109.902,0.037,0.0116,0.173,4,0.596,10,0.949,1,Excited
Sander van Doorn,Ori Tali Ma - LVNDSCAPE Remix,0.825,0.11,110.011,0.0307,0.0148,0.318,4,0.679,3,0.088,1,
Thyra,How Deep Is Your Love,0.237,0.0968,95.204,0.0287,0.836,0,4,0.595,5,0.202,1,Sentimental
KC & The Sunshine Band,Get Down Tonight,0.754,0.46,112.683,0.0279,0.134,0.0069,4,0.669,10,0.908,1,Cool
The Temptations,"My Girl - ""16 Big Hits"" Stereo Version",0.585,0.596,104.331,0.0795,0.424,0,4,0.61,0,0.626,1,Upbeat
Testament,Over The Wall,0.897,0.0735,103.885,0.0927,6.91E-06,0.0765,4,0.219,0,0.261,1,Aggressive
Quasimoto,Catchin' the Vibe,0.557,0.0926,90.844,0.34,0.133,0.00261,4,0.904,1,0.821,1,Cool
Gr,ar Til Eldurinn Mig Gleypir,0.908,0.0767,174.885,0.0716,8.26E-05,0.78,4,0.134,4,0.0466,1,Brooding
Lanks,Bitter Leaf,0.538,0.103,144.921,0.107,0.338,3.05E-05,4,0.797,7,0.412,0,Cool
Xscape,Just Kickin' It,0.365,0.401,80.904,0.0635,0.054,3.43E-05,4,0.694,1,0.705,0,Sensual
Eric Bellinger,Remind Her,0.662,0.164,107.24,0.0752,0.783,1.03E-06,4,0.442,8,0.659,1,Sensual
Russian Circles,Mota,0.821,0.122,164.04,0.0549,0.00014,0.685,4,0.243,11,0.149,0,Defiant
Jethro Tull,Heavy Horses - 2003 Remastered Version,0.594,0.251,111.381,0.0466,0.252,0,4,0.436,5,0.501,1,Sentimental
Tony Matterhorn,Dutty Wine,0.923,0.268,156.914,0.367,0.133,0,3,0.487,5,0.938,0,Other
Leo Janek,"Sinfonietta, JW VI/18 : II. Andante",0.128,0.386,74.143,0.0387,0.952,0.892,4,0.15,8,0.0628,0,Serious
Nobuo Uematsu,"Answers (From ""Final Fantasy XIV"")",0.332,0.0968,79.767,0.0311,0.791,1.83E-06,4,0.166,2,0.159,0,Serious
Cur De Pirate,Oceans Brawl,0.594,0.931,169.911,0.0396,0.515,0.000501,4,0.416,9,0.113,0,Brooding
The Bones of J.R. Jones,The Heat,0.841,0.0369,92.992,0.0802,0.144,0.000511,4,0.588,2,0.661,1,Rowdy
Hayley Kiyoko,Palace,0.795,0.0979,74.992,0.0671,0.0108,1.00E-06,4,0.582,0,0.246,1,
Benjamin Frith,"Nocturne No. 18 In E Major, 'Midi'",0.0323,0.0897,97.384,0.0435,0.986,0.917,4,0.329,4,0.15,1,Tender
One Way,Cutie Pie,0.676,0.0286,102.866,0.0573,0.38,0.00129,4,0.873,2,0.965,1,Energizing
Samuel E. Wright,"Kiss The Girl - From ""The Little Mermaid""/Soundtrack Version",0.433,0.118,134.86,0.0413,0.71,0,4,0.673,0,0.753,1,Empowering
Philip Glass,Metamorphosis 1,0.00107,0.0762,65.72,0.0572,0.979,0.902,3,0.272,0,0.0625,1,Tender
Matstubs,War,0.867,0.132,139.99,0.0438,0.00635,0.0713,4,0.637,11,0.0668,1,Aggressive
The Bluetones,Bluetonic,0.906,0.081,138.564,0.0728,0.0314,0.113,4,0.271,0,0.321,1,Brooding
Brian Eno,An Ending (Ascent),0.0962,0.0767,68.205,0.0667,0.932,0.987,3,0.304,8,0.0455,1,Peaceful
Hannes Grossmann,In the Eye of the Storm,0.952,0.118,119.752,0.13,2.22E-05,0.0059,4,0.471,10,0.375,0,
Possessed,Pentagram,0.985,0.165,93.348,0.106,0.00105,0.0623,4,0.109,1,0.0338,1,Aggressive
Brothers Osborne,Stay A Little Longer,0.882,0.146,97.006,0.0294,0.0408,0.241,4,0.553,6,0.537,1,Empowering
Creedence Clearwater Revival,Have You Ever Seen The Rain?,0.697,0.133,116.109,0.0277,0.0664,2.28E-05,4,0.741,0,0.764,1,Rowdy
Perfume Genius,Hood,0.278,0.162,111.316,0.0373,0.591,0.000145,3,0.329,7,0.249,1,Melancholy
Youngr,Out of My System,0.656,0.0678,105.171,0.203,0.194,0.187,4,0.667,7,0.926,0,Yearning
Beta Radio,White Fawn,0.288,0.112,115.725,0.0289,0.956,4.28E-05,4,0.536,10,0.117,1,Melancholy
Dervish,Midsummer's Night,0.777,0.124,121.062,0.0383,0.791,0.00315,4,0.571,8,0.963,1,
Chicago,You're The Inspiration - 2006 Remastered Version,0.602,0.22,74.008,0.0274,0.368,0,4,0.583,11,0.37,1,Empowering
John Lennon,Gimme Some Truth - 2010 - Remaster,0.783,0.0812,133.518,0.0366,0.106,0.0214,4,0.561,5,0.78,1,Upbeat
I Wayne,Living In Love,0.843,0.18,76.697,0.199,0.099,0,4,0.789,0,0.96,0,Energizing
Elvis Presley,Jailhouse Rock,0.672,0.0688,166.903,0.0637,0.314,5.03E-06,4,0.635,10,0.899,0,Lively
Steve Reich,Music for a Large Ensemble,0.444,0.103,111.803,0.0396,0.875,0.935,3,0.407,5,0.488,0,Stirring
The Italian Light Orchestra,La Ragazza Con La Valigia,0.115,0.0855,120.054,0.0732,0.914,0.151,4,0.575,5,0.53,0,
Seven Lions,Creation,0.852,0.2,130.017,0.41,0.00171,1.68E-05,4,0.504,9,0.364,0,Energizing
Future,Jordan Diddy,0.47,0.632,72.53,0.111,0.00846,0,4,0.808,1,0.0661,1,Defiant
Middle Kids,Edge of Town,0.8,0.0604,104.984,0.0344,0.00589,0.000373,4,0.325,1,0.285,1,Rowdy
Quintino,Unbroken,0.772,0.254,128.073,0.0582,0.000466,3.25E-05,4,0.567,5,0.0997,1,
Clock Opera,Move To The Mountains,0.636,0.177,126.975,0.0333,0.591,0.168,4,0.41,8,0.378,1,Yearning
Talib Kweli,Ms. Hill,0.671,0.458,89.238,0.415,0.0505,0,4,0.479,8,0.267,0,Cool
FRENSHIP,Capsize,0.708,0.676,92.993,0.0304,0.042,0.14,4,0.681,5,0.359,0,Excited
Mae,Embers And Envelopes,0.814,0.225,120.891,0.0505,0.125,1.36E-06,3,0.555,7,0.334,1,Yearning
The Strokes,Someday,0.52,0.367,106.031,0.0299,0.00425,0,4,0.538,9,0.678,1,Brooding
The Civil Wars,Poison & Wine,0.186,0.104,153.848,0.0288,0.76,7.30E-05,4,0.285,1,0.226,1,Melancholy
Donna Summer,Hot Stuff,0.727,0.049,120.492,0.0336,0.00273,0.121,4,0.806,0,0.963,1,Defiant
Marvin Gaye,I Want You,0.793,0.262,100.697,0.0343,0.863,0.213,4,0.523,1,0.796,0,Fiery
Thievery Corporation,Fragments,0.738,0.338,94.017,0.0259,4.77E-05,0.767,4,0.608,2,0.564,0,Brooding
Junior Murvin,Police & Thieves,0.512,0.156,127.157,0.0626,0.048,0,4,0.934,11,0.917,0,Fiery
Cashmere Cat,Mirror Maru,0.718,0.0981,129.956,0.0394,0.352,0.552,4,0.781,1,0.191,1,Sensual
Double Exposure,Everyman,0.855,0.283,106.022,0.102,0.00963,0.000886,4,0.545,10,0.807,0,Stirring
Kardashev,Iota,0.93,0.128,110.022,0.0857,0.000101,0.832,1,0.186,2,0.0522,1,Defiant
Gojira,L'Enfant Sauvage,0.995,0.364,87.803,0.185,0.000146,0.438,3,0.143,8,0.0731,1,Aggressive
MAX,Mug Shot,0.86,0.168,132.98,0.0675,0.013,0,4,0.714,4,0.623,0,Defiant
Issues,COMA,0.976,0.0936,107.992,0.0937,0.00145,0,4,0.619,1,0.419,0,Defiant
The Smashing Pumpkins,Cherub Rock,0.867,0.196,87.309,0.0399,5.91E-06,0.581,4,0.382,9,0.458,1,Aggressive
No Use For A Name,Dumb Reminders,0.933,0.391,179.73,0.0904,0.002,2.35E-06,4,0.399,2,0.784,1,Defiant
Nirvana,Tourette's - Demo / Instrumental,0.998,0.525,176.442,0.137,5.04E-05,0.819,4,0.171,5,0.0793,1,Brooding
The Doors,Break On Through (To The Other Side),0.751,0.17,89.839,0.0472,0.2,0,4,0.421,9,0.778,1,Urgent
Air Supply,All out of Love,0.41,0.381,108.235,0.0273,0.312,0.000252,4,0.543,0,0.498,1,Empowering
Year Of No Light,Tu as fait de moi un homme meilleur,0.637,0.141,161.895,0.0389,3.38E-06,0.857,3,0.235,8,0.283,1,Aggressive
Eddie Kendricks,Boogie Down - Single Version,0.639,0.122,115.342,0.0413,0.419,0.347,4,0.784,5,0.889,0,Fiery
Antony and the Johnsons,Hope There's Someone,0.175,0.167,139.499,0.0405,0.977,0.0218,1,0.299,6,0.0772,1,Melancholy
B.B. King,How Blue Can You Get?,0.515,0.897,110.99,0.0891,0.403,0.00188,4,0.509,2,0.596,1,Lively
The Struts,Could Have Been Me,0.814,0.28,80.014,0.0538,0.0124,0.000154,4,0.541,6,0.408,0,Urgent
Soul Asylum,Runaway Train,0.714,0.133,117.422,0.0385,0.00481,0,4,0.616,0,0.548,1,Empowering
Ira Wolf,One More Chance,0.183,0.132,132.46,0.0305,0.733,0.00302,3,0.439,11,0.232,1,Empowering
Showtek,Bouncer - Paul Vinx Remix Edit,0.778,0.0631,125.091,0.0447,0.246,0.936,4,0.706,6,0.521,0,Energizing
Lusine,Operation Costs,0.57,0.109,99.99,0.0498,0.461,0.817,4,0.687,8,0.186,0,Brooding
The Ritual Aura,Ectoplasm,0.991,0.215,119.994,0.172,2.83E-06,0.911,3,0.334,7,0.0391,0,Aggressive
We Are the Catalyst,One More Day,0.792,0.286,91.979,0.0336,0.000194,1.41E-06,4,0.425,4,0.271,0,Defiant
Hiatus,Third,0.305,0.102,110.007,0.0294,0.857,0.878,4,0.593,11,0.242,0,Sensual
Rains,Pressure,0.895,0.238,160.076,0.0331,0.000537,0.138,4,0.495,3,0.605,0,Defiant
Axel Boy,3rd degree,0.974,0.0998,128.024,0.0419,0.0107,0.294,4,0.597,1,0.407,1,Urgent
The Chainsmokers,New York City - Dash Berlin Remix,0.739,0.219,128.022,0.0507,0.0132,0,4,0.648,4,0.207,0,Excited
Five Finger Death Punch,The Pride,0.987,0.231,103.98,0.122,8.96E-06,0,4,0.492,4,0.348,1,Defiant
Justin Timberlake,TKO - Black Friday Remix,0.689,0.0942,138.107,0.294,0.0264,0,4,0.685,11,0.316,1,Excited
Atomic Tom,Someone to Love,0.748,0.104,89.985,0.0327,0.00514,9.98E-05,4,0.447,2,0.425,1,
John Lenehan,Chiquilin de Bachin (The Little Beggar Boy) (arr. J. Lenehan for 2 cellos and piano),0.0972,0.0687,97.633,0.04,0.994,0.932,4,0.168,9,0.063,0,
Ludwig van Beethoven,"Beethoven: Symphony No. 9 in D Minor, 'Choral', Op. 125: IV. Presto - Allegro assai",0.0249,0.432,69.528,0.0444,0.922,0.808,4,0.12,2,0.103,1,Stirring
Major Lazer,"Watch Out For This [Bumaye] [feat. Busy Signal, The Flexican & FS Green] - feat. Busy Signal, The Flexican & FS Green",0.755,0.0625,108.056,0.156,0.0202,9.61E-06,4,0.828,10,0.867,0,Defiant
Bob Dylan,One Too Many Mornings,0.115,0.12,103.753,0.0339,0.785,0.00794,4,0.475,0,0.241,1,Sentimental
Heitor Villa-Lobos,Rudepoema,0.161,0.0928,131.403,0.0386,0.986,0.899,4,0.434,2,0.0371,1,
grandson,Bills,0.855,0.277,104.959,0.0681,0.00383,0,4,0.591,9,0.631,1,
Serena Ryder,Got Your Number,0.927,0.0342,89.999,0.108,0.075,0.000984,4,0.719,0,0.848,1,Rowdy
16 Bit Lolitas,Deep In My Soul - Original Mix,0.44,0.689,121.002,0.0514,0.14,0.537,4,0.859,9,0.739,0,Sensual
Modern Baseball,Wedding Singer,0.916,0.448,182.185,0.0742,0.000699,1.89E-05,4,0.315,0,0.34,1,Defiant
Avionics,Forest2,0.485,0.329,97.994,0.0267,0.00815,0.631,4,0.633,6,0.142,0,Romantic
William Ryan Fritch,Take Pause,0.106,0.11,137.207,0.0374,0.963,0.961,3,0.382,11,0.127,0,Peaceful
Kyson,You,0.267,0.075,115.228,0.0325,0.511,0.0363,4,0.595,0,0.0388,0,Melancholy
Beata Moon,Prelude,0.0142,0.0925,78.502,0.0494,0.993,0.904,4,0.193,0,0.183,1,
Chris McClenney,Us,0.0978,0.0648,167.971,0.0735,0.626,0.922,4,0.732,7,0.654,1,
John Heart Jackie,Skeleton Heart,0.3,0.109,108.313,0.0294,0.92,0.000614,3,0.39,3,0.213,1,Sentimental
Amy Winehouse,Back To Black,0.74,0.0858,123.45,0.0398,0.155,5.64E-06,4,0.5,10,0.321,1,Yearning
Mike Birbiglia,"I'm A Bear, Etc.",0.79,0.681,116.16,0.926,0.93,0,3,0.517,3,0.432,0,Other
Ray LaMontagne,"Part One - Hey, No Pressure",0.748,0.102,151.265,0.0522,0.11,0.000273,4,0.434,1,0.702,1,Brooding
D-Block & S-Te-Fan,Louder - Original Edit,0.931,0.187,150.014,0.036,0.045,0.000366,4,0.496,6,0.288,0,Aggressive
Josquin des Prez,Missa Hercules dux Ferrariae: Sanctus,0.169,0.086,132.777,0.0491,0.99,6.95E-05,4,0.194,1,0.0408,0,Somber
OneRepublic,Future Looks Good,0.551,0.115,78.448,0.0429,0.194,9.28E-06,3,0.33,10,0.552,1,Brooding
The Heavy,Short Change Hero,0.64,0.124,105.981,0.0336,0.29,0.00593,4,0.68,1,0.748,0,Brooding
Sleater-Kinney,No Cities To Love,0.851,0.268,141.404,0.0383,0.000644,2.02E-05,4,0.536,11,0.788,0,Defiant
Vallenfyre,Scabs,0.976,0.554,114.215,0.0756,1.10E-06,0.817,4,0.323,1,0.155,1,Aggressive
Philip Glass,Akhnaten: Prelude,0.0269,0.113,132.574,0.0483,0.974,0.965,4,0.263,5,0.172,1,
LISTENBEE,Nottamun Town (Mahalo Remix),0.921,0.0805,120.009,0.0458,0.0566,0.187,4,0.697,1,0.674,1,Fiery
Cody Jinks,I'm Not the Devil,0.51,0.119,118.019,0.0261,0.113,0.000529,3,0.591,1,0.213,1,Empowering
The Cactus Blossoms,This Boy,0.143,0.117,209.586,0.0362,0.846,0.000128,3,0.351,9,0.497,0,Defiant
Marino Marini,La pi bella del mondo,0.111,0.0971,81.978,0.0306,0.962,0.000603,4,0.45,4,0.16,0,Melancholy
Mick Flannery,Get What You Give,0.443,0.0987,115.395,0.0444,0.828,0.00216,4,0.58,7,0.107,0,Melancholy
Thomas Rhett,Get Me Some Of That,0.86,0.25,87.988,0.0487,0.0627,0,4,0.544,6,0.807,1,Yearning
Tavares,Heaven Must Be Missing An Angel Re-Recorded / Remastered),0.762,0.158,116.009,0.0317,0.000444,0,4,0.655,0,0.962,1,Rowdy
After 7,Sara Smile,0.549,0.0549,137.972,0.0413,0.0881,1.18E-06,4,0.704,0,0.615,0,Sensual
Robert Schumann,"Kinderszenen, Op.15: 10. Fast zu ernst",0.0172,0.0981,87.464,0.0435,0.993,0.803,4,0.442,11,0.081,1,Tender
Quiet Life,Housebroken Man,0.84,0.0947,154.612,0.0911,0.0832,1.70E-05,4,0.562,0,0.632,1,Lively
Nelly,Over And Over - Album Version / Explicit,0.518,0.158,169.799,0.0805,0.00646,1.33E-06,4,0.644,7,0.466,1,Sensual
Patent Pending,Brighter,0.867,0.0765,115.031,0.0338,0.0611,0,4,0.733,0,0.764,1,Upbeat
Greg Giraldo,Sports / China,0.873,0.818,84.657,0.956,0.693,0,4,0.559,1,0.476,1,Other
Grandmaster Flash,White Lines,0.701,0.132,114.998,0.0376,0.0103,0.00775,4,0.814,7,0.788,1,Fiery
PJ Harvey,Down By The Water,0.63,0.337,125.154,0.0403,0.00144,0.19,4,0.627,9,0.324,1,Brooding
Deftones,When Girls Telephone Boys,0.982,0.331,81.75,0.31,1.36E-05,0.792,4,0.18,5,0.0656,1,Aggressive
Old Dominion,Wrong Turns,0.683,0.124,131.046,0.0277,0.0902,0,4,0.633,1,0.56,1,Empowering
Goodbye June,Man Of The Moment,0.901,0.131,155.953,0.14,0.0223,0.00121,4,0.385,1,0.304,1,Defiant
Kool & The Gang,Jungle Boogie,0.813,0.34,106.943,0.0969,0.138,3.16E-05,4,0.79,5,0.663,1,Energizing
Johannes Brahms,"Symphony No. 3 in F Major, Op. 90: III. Poco allegretto",0.0218,0.104,172.879,0.0409,0.965,0.841,3,0.0818,0,0.0619,0,Serious
The Dartmouth Aires,Medley: Killer Queen / Bohemian Rhapsody / Somebody To Love,0.653,0.944,108.36,0.36,0.7,0,1,0.438,9,0.317,1,Brooding
Blind Lemon Jefferson,Match Box Blues,0.16,0.0808,82.769,0.0565,0.976,0.0126,4,0.483,10,0.531,1,Easygoing
Rick James,Give It To Me Baby,0.726,0.095,119.891,0.0495,0.0529,0.000407,4,0.775,11,0.936,1,Energizing
Avicii,Feeling Good,0.59,0.112,100.101,0.0398,0.337,0,3,0.452,11,0.0985,0,
Ellie Goulding,Goodness Gracious - The Chainsmokers Extended Remix,0.847,0.154,128.01,0.0398,0.0198,0.000653,4,0.577,1,0.224,0,
Ernst Toch,"Symphony No. 7, Op. 95: I. Molto lento",0.0335,0.125,139.111,0.0417,0.951,0.654,4,0.215,2,0.0448,1,Serious
Sugarcult,Memory,0.864,0.108,167.154,0.0352,2.04E-05,0,4,0.449,1,0.7,1,Defiant
Paul Cauthen,I'll Be the One,0.656,0.0953,133.012,0.0276,0.0787,0.000906,4,0.63,0,0.428,0,Yearning
Diamond Platnum'z feat. Davido,Number One Remix,0.717,0.567,115.96,0.0398,0.211,0,4,0.756,7,0.893,1,Stirring
John Coltrane,You Are Too Beautiful,0.077,0.0892,53.534,0.0441,0.861,0.38,4,0.42,7,0.263,0,
Yo La Tengo,I'll Be Around,0.328,0.114,104.26,0.0385,0.733,0.89,4,0.329,7,0.0746,1,Yearning
Title Fight,Head in the Ceiling Fan,0.444,0.132,120.864,0.0382,0.0744,0.157,4,0.461,9,0.0727,1,Brooding
Alexander Agricola,"Missa, ""In myne zin"": Agnus Dei: Agnus I",0.169,0.115,78.952,0.0388,0.995,0.269,4,0.183,9,0.0643,0,Peaceful
Trace,Heavy Shoulders,0.33,0.0769,151.9,0.173,0.109,0,4,0.664,9,0.352,0,
Jodeci,Lately,0.317,0.945,125.919,0.0569,0.666,1.27E-06,4,0.385,1,0.315,1,Sophisticated
Zaz,Les passants,0.658,0.0685,153.773,0.116,0.355,0,4,0.742,0,0.609,0,Sensual
Yo Gotti,King Sh*t,0.741,0.104,156.008,0.219,0.0103,0.000148,4,0.878,11,0.643,1,
Lena Horne,I want a little doggie,0.86,0.064,130.021,0.042,0.0276,0.113,4,0.907,2,0.966,1,Gritty
Antonio Giacca,Sensation - Radio Mix,0.917,0.0461,123.033,0.0572,0.14,0.53,4,0.71,6,0.407,1,Energizing
Far Beyond,The Song Remains the Same,0.92,0.404,71.584,0.156,0.00011,9.13E-05,4,0.111,2,0.152,0,Defiant
Allan Pettersson,Symphony No. 7,0.0576,0.0841,88.956,0.0393,0.8,0.65,4,0.107,6,0.0339,1,
Dirk Maassen,Saltare (Somewhere at the Baltic Sea),0.0949,0.0859,68.612,0.0733,0.992,0.931,3,0.386,9,0.107,0,Tender
John Coltrane,Blues To Elvin,0.228,0.0594,110.501,0.0348,0.641,0.0596,3,0.555,8,0.271,1,Sentimental
James Newton Howard,The Hanging Tree,0.085,0.201,94.26,0.0359,0.329,6.83E-05,4,0.255,9,0.105,0,Romantic
